 106823 61674  334.10284   41   14  350.33298  299.70853  14.5%  45.0  255s
 108941 62770  329.33134   47   12  350.33298  299.87446  14.4%  44.9  260s
 110934 63761  341.43646   61   16  350.33298  299.99831  14.4%  44.9  265s
 113101 64901  335.85225   52   10  350.33298  300.15107  14.3%  44.8  270s
 115102 65873  306.91578   41   16  350.33298  300.28519  14.3%  44.8  275s
 117093 66927  319.69663   49   18  350.33298  300.43692  14.2%  44.7  280s
 119211 68006  319.76382   39   17  350.33298  300.58060  14.2%  44.7  285s
 121153 69013  311.70614   44   19  350.33298  300.72776  14.2%  44.7  290s
 123123 69976  330.38896   53   12  350.33298  300.87689  14.1%  44.6  295s
 125346 71062  337.74478   46   16  350.33298  301.04643  14.1%  44.5  300s
 127466 72052  341.80186   54    8  350.33298  301.17632  14.0%  44.4  305s
 129668 73194  323.42324   46   16  350.33298  301.35756  14.0%  44.3  310s
 131719 74202  317.97587   41   19  350.33298  301.48690  13.9%  44.3  315s
 133861 75215  314.31394   44   14  350.33298  301.63018  13.9%  44.3  320s
 135846 76175  346.24852   51   12  350.33298  301.74756  13.9%  44.3  325s
 137912 77170  319.99241   47   15  350.33298  301.87625  13.8%  44.2  330s
 139940 78221  349.88493   48   13  350.33298  301.97781  13.8%  44.2  335s
 141935 79210  321.26939   43   16  350.33298  302.09066  13.8%  44.1  340s
 144047 80233  308.83058   37   21  350.33298  302.20147  13.7%  44.1  345s
 146078 81257  317.91245   41   14  350.33298  302.31813  13.7%  44.1  350s
 148069 82232  313.68216   46   15  350.33298  302.40414  13.7%  44.1  355s
 150163 83171  331.96825   42   17  350.33298  302.52453  13.6%  44.0  360s
 152066 84137  322.56141   42    8  350.33298  302.62123  13.6%  44.0  365s
 154096 85116     cutoff   56       350.33298  302.73631  13.6%  44.0  370s
 156216 86160  347.71394   59    7  350.33298  302.84979  13.6%  43.9  375s
 158210 87231  348.71476   56    8  350.33298  302.95572  13.5%  43.8  380s
 160428 88311  325.56136   44   21  350.33298  303.07831  13.5%  43.8  385s
 162301 89229  349.98091   51   11  350.33298  303.16901  13.5%  43.7  390s
 164502 90360  316.12484   36   16  350.33298  303.27669  13.4%  43.7  395s
 166519 91332  342.34760   55   14  350.33298  303.36968  13.4%  43.7  400s
 168429 92211     cutoff   55       350.33298  303.46714  13.4%  43.6  405s
 170526 93230     cutoff   56       350.33298  303.56178  13.4%  43.6  410s
 172611 94190     cutoff   47       350.33298  303.64548  13.3%  43.6  415s
 174676 95152  332.66633   55   11  350.33298  303.73898  13.3%  43.6  420s
 176690 96086  341.59856   63    6  350.33298  303.83308  13.3%  43.5  425s
 178569 96963     cutoff   42       350.33298  303.93200  13.2%  43.5  430s
 180825 98050  313.02756   37   14  350.33298  304.03676  13.2%  43.4  435s
 182741 98997  309.33766   40   21  350.33298  304.11910  13.2%  43.4  440s
 184742 99971  307.02284   36   15  350.33298  304.19289  13.2%  43.4  445s
 186925 100988  349.07385   51   11  350.33298  304.28501  13.1%  43.3  450s
 188775 101841  340.55018   60   16  350.33298  304.36385  13.1%  43.3  455s
 191047 102890  342.34093   50   10  350.33298  304.47057  13.1%  43.2  460s
 193018 103784  349.91535   48    9  350.33298  304.55803  13.1%  43.2  465s
 195180 104840  338.55622   44   14  350.33298  304.65222  13.0%  43.2  470s
 197406 105815  311.03627   44   19  350.33298  304.75912  13.0%  43.1  475s
 199245 106715  341.19885   53   16  350.33298  304.84061  13.0%  43.1  480s
 201375 107744  328.51707   49   11  350.33298  304.91859  13.0%  43.1  485s
 203573 108722  317.62537   37   16  350.33298  305.01204  12.9%  43.0  490s
 205599 109541  340.68373   44   11  350.33298  305.10328  12.9%  43.0  495s
 207630 110471  310.94310   37   16  350.33298  305.18487  12.9%  42.9  500s
 209625 111401  337.50679   50   16  350.33298  305.26540  12.9%  42.9  505s
 211815 112406  330.61055   40   16  350.33298  305.35035  12.8%  42.9  510s
 213794 113286  318.87018   46   18  350.33298  305.43207  12.8%  42.9  515s
 216029 114284  338.16633   55    6  350.33298  305.50008  12.8%  42.8  520s
 217860 115149  307.24608   43   16  350.33298  305.56160  12.8%  42.8  525s
