100.3,489.86_{1},89.1400 %,926.5,64.9500 %,808,63.3100 %,800,2398.50_{2},126.1800 %,5 425,97.5400 %,4 738,98.2100 %,4 754
200.1,2465.09_{1},129.0900 %,5 647.38,120.8800 %,5 445,311.5100 %,10 144,1533.40_{2},--,--,369.8700 %,7 205,593.4300 %,10 633
200.2,1692.33_{1},138.9500 %,4 043.8,143.6300 %,4 123,494.9200 %,10 068,1182.11_{2},--,--,670.4700 %,9 107.77,748.0600 %,10 024.99
200.3,633.29_{1},131.5600 %,1 466.44,133.8100 %,1 480.67,1 437.6900 %,9 737.99,951.60_{3},--,--,949.8100 %,9 990,967.1500 %,10 155
300.1,5.44_{3},--,--,--,--,316 553.0600 %,17 239.98,6.38_{3},--,--,--,--,268 621.5700 %,17 131
300.2,21.50_{23},--,--,28 718.600 %,6 196,27 146.5100 %,5 858,6.38_{3},--,--,--,--,272 464.7100 %,17 376
300.3,3.60_{23},--,--,60 450.0 %,2 179.8,475 677.7800 %,17 128,1529.65_{12},244.2400 %,5 265.66,--,--,1 044.8400 %,17 511.98
400.1,25.00_{2},--,--,39 520.0 %,9 905,81 852.00 %,20 488,6.38_{3},--,--,--,--,222 115.6900 %,14 166.25
400.2,36.65_{1},19 989.7800 %,7 363.33,19 867.3100 %,7 318.44,20 389.9400 %,7 509.99,--,--,--,--,--,--,20 451
400.3,2.25_{23},--,--,119 527.7800 %,2 691.62,125 588.8900 %,2 828,--,--,--,--,--,--,19 934
500.1,--,--,--,--,--,--,25 070,--,--,--,--,--,--,25 082
500.2,--,--,--,--,--,--,25 103,--,--,--,--,--,--,24 720.6
500.3,--,--,--,--,--,--,24 288.75,--,--,--,--,--,--,25 152.97
600.1,--,--,--,--,--,--,30 575,--,--,--,--,--,--,30 890
600.2,--,--,--,--,--,--,30 109,--,--,--,--,--,--,30 318
600.3,--,--,--,--,--,--,30 848.97,--,--,--,--,--,--,30 064
700.1,--,--,--,--,--,--,36 057,--,--,--,--,--,--,35 735.96
700.2,--,--,--,--,--,--,35 377,--,--,--,--,--,--,36 187.96
700.3,--,--,--,--,--,--,35 923,--,--,--,--,--,--,35 228.96
