5.1,175.86,1.40,175.86,5.60,175.86,31.36,175.86,214.00,2.85,214.00,0.41,214.00,0.04,214.00
5.2,127.50,1.47,127.50,3.79,127.50,2.82,127.50,157.29,0.86,157.29,2.64,157.29,15.18,157.29
5.3,120.25,0.57,120.25,0.54,120.25,0.16,120.25,119.17,2.04,119.17,1.46,119.17,0.72,119.17
7.1,213.75,20.02,213.75,5.97,213.75,3.90,213.75,250.98,18.87,251.00,206.01,251.00,542.32,251.00
7.2,216.50,40.91,216.50,1.64,216.50,0.80,216.50,263.75,29.14,263.75,25.42,263.75,40.89,263.75
7.3,123.14,2.67,123.14,3.94,123.14,15.21,123.14,295.97,205.88,296.00,9.93,296.00,7.86,296.00
10.1,312.07_{1},8.17 %,337.57,8.17 %,337.57,8.17 %,337.57,365.50_{23},8.62 %,397.00,861.32,365.50,422.47,365.50
10.2,281.47_{12},139.78,281.50,2257.91,281.50,0.01 %,281.50,341.97_{1},2559.58,342.00,0.01 %,342.00,0.85 %,344.86
10.3,172.25,38.11,172.25,13.19,172.25,16.07,172.25,237.65,77.07,237.67,564.67,237.67,1547.77,237.67
15.1,372.79_{1},40.71 %,524.57,32.28 %,493.14,32.55 %,494.14,393.00_{2},51.02 %,593.50,40.71 %,553.00,42.37 %,559.50
15.2,307.26_{1},25.30 %,385.00,22.86 %,377.50,23.19 %,378.50,358.56_{1},46.06 %,523.71,40.04 %,502.14,38.01 %,494.86
15.3,207.98_{12},651.58,208.00,1661.09,208.00,0.01 %,208.00,296.47_{1},25.03 %,370.67,25.03 %,370.67,25.03 %,370.67
20.1,437.40_{1},41.29 %,618.00,41.22 %,617.71,41.84 %,620.43,498.00_{3},66.87 %,831.00,56.63 %,780.00,56.83 %,781.00
20.2,339.53_{1},23.95 %,420.83,22.38 %,415.50,22.28 %,415.17,467.62_{1},47.74 %,690.86,46.79 %,686.43,46.09 %,683.14
20.3,192.33_{1},14.90 %,221.00,14.64 %,220.50,14.64 %,220.50,384.42_{1},33.71 %,514.00,30.80 %,502.83,30.80 %,502.83
25.1,484.61_{1},56.66 %,759.17,53.77 %,745.17,53.49 %,743.83,568.66_{1},59.32 %,906.00,57.39 %,895.00,57.96 %,898.28
25.2,431.32_{1},41.02 %,608.25,38.88 %,599.00,38.24 %,596.25,530.23_{1},61.12 %,854.34,59.90 %,847.84,61.00 %,853.67
25.3,258.00_{2},15.70 %,298.50,14.53 %,295.50,14.53 %,295.50,471.43_{1},67.84 %,791.25,66.04 %,782.75,65.77 %,781.50
30.1,573.73_{1},55.13 %,890.00,55.59 %,892.67,57.30 %,902.50,662.62_{1},63.03 %,1080.28,68.18 %,1114.43,61.41 %,1069.57
30.2,471.25_{2},50.40 %,708.75,48.75 %,701.00,49.02 %,702.25,622.41_{1},70.71 %,1062.50,69.85 %,1057.17,68.03 %,1045.84
30.3,271.00_{3},28.23 %,347.50,25.09 %,339.00,25.09 %,339.00,548.75_{2},64.05 %,900.25,63.14 %,895.25,63.23 %,895.75
35.1,654.92_{1},63.56 %,1071.17,59.43 %,1044.17,61.16 %,1055.50,753.03_{1},70.00 %,1280.17,67.17 %,1258.84,65.95 %,1249.67
35.2,558.50_{3},51.21 %,844.50,50.94 %,843.00,45.75 %,814.00,761.25_{2},79.31 %,1365.00,74.15 %,1325.75,76.12 %,1340.75
35.3,255.03_{1},29.11 %,329.29,30.91 %,333.86,29.11 %,329.29,876.50_{2},88.13 %,1649.00,86.71 %,1636.50,86.99 %,1639.00
40.1,713.50_{3},73.48 %,1237.75,65.70 %,1182.25,61.46 %,1152.00,851.57_{1},80.30 %,1535.34,73.56 %,1478.00,71.23 %,1458.17
40.2,615.50_{3},58.73 %,977.00,54.83 %,953.00,51.67 %,933.50,882.00_{2},82.85 %,1612.75,80.70 %,1593.75,78.37 %,1573.25
40.3,247.58_{1},37.39 %,340.14,37.56 %,340.57,37.67 %,340.86,984.50_{2},92.28 %,1893.00,90.30 %,1873.50,91.32 %,1883.50
45.1,861.00_{2},62.25 %,1397.00,55.52 %,1339.00,55.40 %,1338.00,960.39_{1},86.28 %,1789.00,70.06 %,1633.25,71.21 %,1644.25
45.2,619.85_{1},61.12 %,998.71,58.45 %,982.14,59.35 %,987.71,1054.00_{3},91.08 %,2014.00,81.69 %,1915.00,80.08 %,1898.00
