5.1,165.00_{123},0.08,165.00,0.16,165.00,0.08,165.00,190.33_{123},0.17,190.33,0.18,190.33,0.11,190.33
5.2,133.25_{123},0.06,133.25,0.18,133.25,0.11,133.25,194.00_{123},0.21,194.00,0.30,194.00,0.29,194.00
5.3,108.00_{123},0.07,108.00,0.01,108.00,0.02,108.00,198.50_{123},0.18,198.50,0.08,198.50,0.04,198.50
7.1,247.33_{123},6.27,247.33,1.57,247.33,1.70,247.33,237.25_{123},0.62,237.25,5.05,237.25,5.13,237.25
7.2,197.00_{123},0.45,197.00,0.58,197.00,0.11,197.00,277.00_{123},11.17,277.00,1.91,277.00,1.82,277.00
7.3,149.33_{123},0.22,149.33,0.12,149.33,0.60,149.33,259.33_{123},3.81,259.33,8.09,259.33,5.93,259.33
10.1,277.72_{123},83.74,277.75,117.59,277.75,116.77,277.75,352.72_{123},425.47,352.75,1676.68,352.75,2882.42,352.75
10.2,329.97_{123},334.22,330.00,59.72,330.00,47.70,330.00,402.50_{23},0.37 %,404.00,3432.23,402.50,2649.17,402.50
10.3,143.67_{123},1.40,143.67,1.77,143.67,2.12,143.67,338.00_{2},5.82 %,357.67,5.82 %,357.67,5.82 %,357.67
15.1,346.25_{3},26.57 %,438.25,26.57 %,438.25,26.57 %,438.25,390.79_{1},37.16 %,536.00,35.37 %,529.00,35.43 %,529.25
15.2,350.00_{3},4.86 %,367.00,4.86 %,367.00,4.86 %,367.00,417.50_{2},44.91 %,605.00,43.83 %,600.50,42.99 %,597.00
15.3,249.97_{123},1720.71,250.00,2612.92,250.00,2904.46,250.00,384.33_{2},44.23 %,554.33,44.15 %,554.00,44.15 %,554.00
20.1,392.76_{1},26.54 %,497.00,25.20 %,491.75,24.82 %,490.25,443.65_{1},45.05 %,643.50,44.71 %,642.00,46.40 %,649.50
20.2,354.00_{3},22.88 %,435.00,22.32 %,433.00,22.88 %,435.00,506.00_{3},62.55 %,822.50,60.87 %,814.00,62.35 %,821.50
20.3,221.91_{1},13.71 %,252.33,13.71 %,252.33,13.71 %,252.33,489.00_{3},52.69 %,746.67,52.15 %,744.00,51.94 %,743.00
25.1,466.15_{1},35.20 %,630.25,35.90 %,633.50,35.20 %,630.25,551.00_{23},48.91 %,820.50,48.37 %,817.50,47.28 %,811.50
25.2,421.50_{2},32.98 %,560.50,31.79 %,555.50,31.91 %,556.00,604.67_{2},69.46 %,1024.67,69.57 %,1025.33,68.69 %,1020.00
25.3,226.25_{2},11.05 %,251.25,11.05 %,251.25,11.05 %,251.25,500.51_{1},52.14 %,761.50,52.14 %,761.50,52.34 %,762.50
30.1,548.00_{23},43.07 %,784.00,41.15 %,773.50,40.51 %,770.00,640.50_{3},59.56 %,1022.00,60.03 %,1025.00,55.74 %,997.50
30.2,458.67_{2},40.55 %,644.67,40.92 %,646.33,40.41 %,644.00,702.00_{2},68.80 %,1185.00,69.47 %,1189.67,71.75 %,1205.67
30.3,233.00_{2},19.74 %,279.00,19.74 %,279.00,19.74 %,279.00,583.90_{1},54.01 %,899.25,54.05 %,899.50,53.58 %,896.75
35.1,619.00_{2},43.30 %,887.00,40.55 %,870.00,40.71 %,871.00,717.00_{3},55.86 %,1117.50,52.44 %,1093.00,51.81 %,1088.50
35.2,518.67_{3},41.52 %,734.00,41.65 %,734.67,41.07 %,731.67,800.67_{2},77.44 %,1420.67,76.60 %,1414.00,75.40 %,1404.33
35.3,250.50_{3},27.15 %,318.50,27.15 %,318.50,27.15 %,318.50,660.86_{1},56.58 %,1034.75,56.88 %,1036.75,56.58 %,1034.75
40.1,647.67_{2},50.54 %,975.00,48.22 %,960.00,49.05 %,965.33,803.53_{1},64.57 %,1322.33,61.87 %,1300.67,63.28 %,1312.00
40.2,555.50_{3},45.95 %,810.75,45.50 %,808.25,46.58 %,814.25,836.00_{2},71.23 %,1431.50,70.39 %,1424.50,71.38 %,1432.75
40.3,286.50_{2},21.82 %,349.00,21.82 %,349.00,21.82 %,349.00,989.50_{3},86.96 %,1850.00,87.01 %,1850.50,86.76 %,1848.00
45.1,686.67_{3},47.28 %,1011.33,46.50 %,1006.00,46.46 %,1005.67,906.76_{1},67.37 %,1517.67,61.45 %,1464.00,63.62 %,1483.67
45.2,583.00_{2},45.33 %,847.25,45.58 %,848.75,45.45 %,848.00,934.25_{2},72.52 %,1611.75,75.22 %,1637.00,72.84 %,1614.75
45.3,308.50_{3},27.39 %,393.00,27.23 %,392.50,27.23 %,392.50,1114.00_{3},88.24 %,2097.00,87.30 %,2086.50,87.21 %,2085.50
