Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,737.50,89.69 %,0.15,0.86,719.50,-2.44,0.28,0.37,716.25,-2.88,884.50,74.13 %,0.28,0.84,880.25,-0.48,0.29,0.36,870.76,-1.55
30.2,646.17,88.08 %,0.17,0.84,650.33,0.64,0.30,0.36,646.67,0.08,714.50,71.20 %,0.29,0.84,702.25,-1.71,0.29,0.37,702.38,-1.70
30.3,302.25,88.59 %,0.01,0.84,298.75,-1.16,0.00,0.35,298.75,-1.16,241.00,90.25 %,0.11,0.82,243.00,0.83,0.19,0.36,240.50,-0.21
35.1,970.50,87.00 %,0.62,0.98,959.42,-1.14,0.36,0.44,945.00,-2.63,1008.67,84.80 %,0.16,1.00,996.50,-1.21,0.37,0.43,987.42,-2.11
35.2,731.75,86.61 %,0.13,0.97,735.00,0.44,0.34,0.42,728.13,-0.50,716.00,86.07 %,0.23,0.98,710.00,-0.84,0.34,0.43,696.00,-2.79
35.3,322.00,95.34 %,0.09,0.98,316.00,-1.86,0.08,0.42,316.00,-1.86,322.00,87.42 %,0.01,1.00,324.50,0.78,0.09,0.42,323.50,0.47
40.1,1098.17,94.49 %,0.01,1.08,1054.50,-3.98,0.00,0.49,1054.50,-3.98,1154.00,94.76 %,0.40,1.07,1097.12,-4.93,0.37,0.50,1092.75,-5.31
40.2,859.25,94.33 %,0.36,1.04,847.25,-1.40,0.41,0.49,836.00,-2.71,867.00,93.83 %,0.28,1.02,852.00,-1.73,0.42,0.49,845.75,-2.45
40.3,323.00,96.44 %,0.09,1.05,312.00,-3.41,0.27,0.50,309.50,-4.18,349.83,85.95 %,0.01,1.06,350.17,0.10,0.16,0.49,349.83,-0.00
45.1,1271.50,96.56 %,0.24,1.22,1166.38,-8.27,0.48,0.58,1145.00,-9.95,1545.75,97.67 %,0.43,1.22,1336.75,-13.52,0.50,0.59,1331.12,-13.89
45.2,923.50,97.02 %,0.15,1.20,899.50,-2.60,0.40,0.57,899.25,-2.63,925.00,85.57 %,0.30,1.20,908.75,-1.76,0.46,0.57,895.00,-3.24
45.3,396.33,94.58 %,0.06,1.20,390.83,-1.39,0.19,0.56,390.50,-1.47,400.00,92.79 %,0.04,1.19,400.33,0.08,0.11,0.55,400.33,0.08
50.1,1271.00,97.99 %,0.34,1.31,1185.75,-6.71,0.48,0.64,1177.25,-7.38,1357.00,98.49 %,0.35,1.31,1262.00,-7.00,0.54,0.63,1257.75,-7.31
50.2,1021.34,95.69 %,0.02,1.31,1006.17,-1.49,0.01,0.62,1006.17,-1.49,1087.17,88.89 %,0.12,1.29,1043.67,-4.00,0.52,0.62,1034.50,-4.84
50.3,442.75,97.06 %,0.19,1.29,439.75,-0.68,0.46,0.62,436.75,-1.36,449.25,97.50 %,0.02,1.30,441.50,-1.73,0.39,0.61,439.50,-2.17
100.1,3426.50,99.45 %,0.98,3.04,2007.75,-41.41,1.24,1.61,2001.50,-41.59,4400.84,99.72 %,2.38,3.02,2690.34,-38.87,1.45,1.60,2651.09,-39.76
100.2,2489.00,99.75 %,0.05,3.02,1761.17,-29.24,0.05,1.48,1761.17,-29.24,3744.25,99.85 %,0.85,3.05,1845.75,-50.70,1.32,1.61,1837.62,-50.92
100.3,818.50,99.39 %,0.11,3.04,715.13,-12.63,1.09,1.59,712.50,-12.95,931.50,99.03 %,0.55,3.04,732.00,-21.42,1.09,1.59,730.00,-21.63
200.1,7064.68,99.96 %,0.19,7.03,4273.84,-39.50,0.18,3.65,4273.84,-39.50,8614.02,100.00 %,5.01,6.95,4839.10,-43.82,3.70,3.88,4795.09,-44.33
200.2,4338.00,100.00 %,1.58,7.03,2836.50,-34.61,3.12,3.84,2829.00,-34.79,4538.00,100.00 %,3.04,6.91,3330.88,-26.60,3.50,3.82,3314.62,-26.96
200.3,1544.00,100.00 %,1.72,6.99,1207.88,-21.77,3.11,3.77,1204.50,-21.99,1935.84,99.97 %,0.19,7.06,1270.34,-34.38,3.10,3.79,1267.26,-34.54
300.1,11740.00,100.00 %,4.85,10.84,4782.25,-59.27,6.09,6.82,4775.75,-59.32,13067.00,100.00 %,7.56,10.73,6062.00,-53.61,6.29,6.83,6065.50,-53.58
300.2,11934.00,100.00 %,5.48,10.90,3906.50,-67.27,6.15,6.74,3898.00,-67.34,10025.00,100.00 %,5.14,10.89,4535.50,-54.76,6.02,6.80,4520.12,-54.91
300.3,7718.00,100.00 %,2.58,10.91,1559.00,-79.80,5.91,6.66,1548.50,-79.94,6844.00,100.00 %,4.69,10.90,1744.75,-74.51,6.23,6.72,1735.75,-74.64
400.1,14759.00,100.00 %,0.74,15.42,7744.02,-47.53,0.75,10.93,7744.02,-47.53,17580.40,100.00 %,12.86,14.88,8874.69,-49.52,10.77,11.36,8795.60,-49.97
400.2,14328.80,100.00 %,10.69,14.98,5496.75,-61.64,10.80,11.26,5487.12,-61.71,19094.00,100.00 %,9.95,15.20,5904.88,-69.07,10.13,11.36,5895.25,-69.13
400.3,9739.00,100.00 %,5.74,15.35,1986.50,-79.60,10.28,11.19,1977.50,-79.70,18515.00,100.00 %,6.78,15.17,2206.50,-88.08,10.52,11.43,2192.00,-88.16
500.1,21425.70,100.00 %,1.22,19.78,9331.52,-56.45,1.22,16.67,9331.52,-56.45,20076.00,100.00 %,12.67,19.18,9380.75,-53.27,15.57,17.24,9368.25,-53.34
500.2,16171.20,100.00 %,1.22,19.81,7162.85,-55.71,1.22,16.72,7162.85,-55.71,23757.80,100.00 %,10.50,19.41,7074.12,-70.22,15.01,17.11,7057.88,-70.29
500.3,17803.00,100.00 %,6.65,19.80,2671.67,-84.99,1.57,16.62,2671.51,-84.99,7448.00,100.00 %,1.24,19.73,2684.12,-63.96,14.66,16.93,2676.62,-64.06
