Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,2.70,0.38,22.97,7.57,1.1770E+06,5.26,1.12,21.00,6.57,1.1769E+06
30.2,1.58,0.39,28.74,7.87,1.1771E+06,1.33,0.56,27.55,7.77,1.1770E+06
30.3,0.55,0.54,36.77,8.97,1.1772E+06,0.84,0.49,21.12,8.10,1.1771E+06
35.1,3.22,0.44,22.50,6.43,1.1769E+06,1.94,0.52,35.66,7.10,1.1770E+06
35.2,2.13,0.46,29.55,7.07,1.1770E+06,1.21,0.42,23.14,6.80,1.1770E+06
35.3,0.75,0.52,41.94,8.47,1.1771E+06,0.53,0.31,13.74,8.13,1.1771E+06
40.1,3.97,0.42,24.66,6.73,1.1770E+06,2.48,0.50,37.46,7.13,1.1770E+06
40.2,2.92,0.45,33.81,6.90,1.1770E+06,1.62,0.44,26.81,6.47,1.1769E+06
40.3,0.71,0.60,45.92,7.80,1.1771E+06,0.57,0.30,13.16,8.20,1.1771E+06
45.1,7.07,0.51,25.80,7.13,1.1770E+06,5.51,0.42,28.81,7.03,1.1770E+06
45.2,4.36,0.46,34.91,6.97,1.1770E+06,4.46,0.31,15.54,5.83,1.1769E+06
45.3,1.39,0.57,52.83,8.63,1.1771E+06,4.03,2.32,20.24,4.07,1.1767E+06
50.1,5.15,0.57,25.98,7.50,1.1770E+06,5.07,0.39,27.06,5.60,1.1769E+06
50.2,4.23,0.49,51.81,8.10,1.1771E+06,1.93,0.92,16.03,5.20,1.1768E+06
50.3,1.51,0.55,58.46,7.83,1.1771E+06,9.75,3.28,34.82,4.13,1.1767E+06
100.1,13.31,0.65,38.13,6.13,1.1769E+06,6.80,0.56,29.79,5.93,1.1769E+06
100.2,6.80,0.52,77.63,7.03,1.1770E+06,6.80,2.00,32.27,2.27,1.1766E+06
100.3,2.38,0.65,90.82,8.03,1.1771E+06,27.89,5.05,82.78,3.67,1.1767E+06
200.1,5.75,0.48,88.00,4.53,1.1768E+06,40.24,1.27,50.53,4.13,1.1767E+06
200.2,8.53,0.50,99.25,4.77,1.1768E+06,4.63,0.49,58.83,3.90,1.1767E+06
200.3,3.99,0.58,120.11,7.37,1.1770E+06,18.90,3.26,55.59,3.93,1.1767E+06
300.1,27.05,0.61,59.19,4.03,1.1767E+06,27.25,0.59,95.87,3.50,1.1767E+06
300.2,8.72,0.58,118.09,4.17,1.1768E+06,15.87,0.82,31.14,3.77,1.1767E+06
300.3,5.37,0.70,139.41,5.93,1.1769E+06,2.38,0.72,129.19,5.43,1.1769E+06
400.1,18.55,0.51,87.12,2.70,1.1766E+06,30.86,0.44,75.91,3.37,1.1767E+06
400.2,12.14,0.56,128.25,4.87,1.1768E+06,6.62,0.59,91.62,2.90,1.1766E+06
400.3,7.05,0.65,151.70,6.80,1.1770E+06,46.50,3.10,91.60,5.00,1.1768E+06
500.1,22.16,0.53,105.71,3.93,1.1767E+06,34.73,0.58,112.99,2.50,1.1766E+06
500.2,10.76,0.58,129.01,1.93,1.1766E+06,72.09,3.32,115.46,1.40,1.1765E+06
500.3,4.85,0.60,165.09,5.40,1.1769E+06,112.13,4.90,185.11,3.40,1.1767E+06
600.1,48.45,0.57,67.56,2.83,1.1766E+06,38.63,0.50,99.28,3.03,1.1767E+06
600.2,57.38,0.51,106.20,6.07,1.1769E+06,25.65,0.42,56.28,2.03,1.1766E+06
600.3,4.09,0.69,174.55,3.93,1.1767E+06,128.45,4.69,196.49,3.00,1.1767E+06
700.1,37.61,0.66,68.01,0.63,1.1765E+06,106.40,0.85,60.62,3.90,1.1767E+06
700.2,30.25,0.53,122.79,2.67,1.1766E+06,32.59,0.41,60.40,2.47,1.1766E+06
700.3,6.77,0.66,182.18,6.00,1.1769E+06,3.69,0.75,155.95,4.93,1.1768E+06
800.1,87.48,0.53,72.73,4.00,1.1767E+06,134.64,1.23,79.62,2.20,1.1766E+06
800.2,38.44,0.60,116.58,2.07,1.1766E+06,12.57,0.54,107.37,3.07,1.1767E+06
800.3,19.18,0.68,170.68,6.50,1.1769E+06,4.07,0.56,96.44,4.23,1.1768E+06
900.1,30.80,0.57,117.22,2.10,1.1766E+06,148.09,1.24,81.52,1.90,1.1766E+06
900.2,61.02,0.51,126.03,5.30,1.1768E+06,41.13,0.41,61.38,1.93,1.1766E+06
900.3,6.73,0.67,184.76,5.07,1.1768E+06,4.64,0.79,160.46,5.27,1.1768E+06
1000.1,64.32,0.58,82.52,2.60,1.1766E+06,73.82,0.46,90.42,2.17,1.1766E+06
1000.2,65.63,0.57,121.72,3.53,1.1767E+06,81.08,0.73,45.47,3.67,1.1767E+06
1000.3,9.07,0.70,187.58,3.93,1.1767E+06,252.89,5.06,254.18,3.43,1.1767E+06
,,,,,,,,,,
