Instância,K-trimmed,,K-centrum,,Hurwicz,
,correlated,anticorrelated,correlated,anticorrelated,correlated,anticorrelated
30.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0916
30.2,0.0000,0.4672,0.0000,0.0000,0.0000,0.0000
30.3,0.5000,0.0000,0.0330,0.0001,0.5000,0.0398
35.1,0.0000,0.0000,0.0000,0.0000,0.1244,0.0000
35.2,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000
35.3,0.0001,0.0000,0.5000,1.0000,0.0000,0.0001
40.1,0.5000,0.0000,0.0000,0.0003,0.0000,0.0586
40.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012
40.3,0.0000,0.0000,0.5000,0.0248,0.0000,0.0000
45.1,0.0000,0.0008,0.0000,0.9920,0.0007,0.0000
45.2,0.6898,0.0000,0.0000,0.9983,0.0000,0.0092
45.3,0.0000,0.0161,0.0200,0.0769,0.0023,0.1855
50.1,0.0000,0.0140,0.0000,0.0424,0.0000,0.0307
50.2,0.1587,0.0000,0.0000,0.0000,0.0000,0.0706
50.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004
100.1,0.0011,0.0000,0.0000,0.0000,0.0000,0.0135
100.2,0.5000,0.0000,0.0000,0.0380,0.0000,0.0339
100.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0163
200.1,0.5000,0.0000,0.2871,0.0000,0.0003,0.0000
200.2,0.0000,0.0000,0.0356,0.0000,0.0001,0.0003
200.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300.1,0.0182,0.8445,0.0000,0.0000,0.0000,0.0011
300.2,0.0006,0.0000,0.0047,0.0000,0.0380,0.0112
300.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400.1,0.5000,0.0000,0.8409,0.0000,0.0966,0.0917
400.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045
400.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.6660
500.1,0.5000,0.1469,0.0000,0.0000,0.0027,0.0004
500.2,0.5000,0.0000,0.0000,0.0000,0.0078,0.0004
500.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.1275
600.1,0.5000,0.0022,0.0000,0.0000,0.0050,0.0114
600.2,0.0009,0.0000,0.0000,0.0000,0.0000,0.0019
600.3,0.0052,0.0000,0.0000,0.0000,0.0000,0.2577
700.1,0.0000,0.9870,0.0000,0.0000,0.0000,0.0418
700.2,0.5000,0.0000,0.0000,0.0000,0.0179,0.0199
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.1,0.0000,0.0000,0.6633,0.0000,0.0000,0.0002
800.2,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000
800.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0103,0.0001,0.0953,0.0000,0.0000,0.0000
900.2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0112
900.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039
1000.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.2166
