Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,518.40,49.04 %,0.15,0.86,529.70,2.18,0.30,0.37,520.50,0.41,1098.00,46.19 %,0.29,0.86,1085.60,-1.13,0.26,0.37,1082.90,-1.38
30.2,500.80,32.43 %,0.10,0.85,501.40,0.12,0.26,0.37,498.30,-0.50,778.00,81.00 %,0.30,0.84,573.50,-26.29,0.28,0.36,570.40,-26.68
30.3,271.10,15.42 %,0.02,0.84,271.10,0.00,0.02,0.36,271.10,0.00,982.30,74.69 %,0.09,0.86,852.60,-13.20,0.17,0.37,852.60,-13.20
35.1,796.40,46.89 %,0.32,1.01,804.70,1.04,0.37,0.44,803.00,0.83,675.60,75.87 %,0.23,1.00,528.70,-21.74,0.33,0.43,522.20,-22.71
35.2,647.80,35.41 %,0.26,1.01,647.45,-0.05,0.36,0.43,641.55,-0.96,840.50,67.15 %,0.28,0.99,822.45,-2.15,0.38,0.43,817.50,-2.74
35.3,295.20,24.66 %,0.07,0.98,299.00,1.29,0.18,0.42,295.20,0.00,1436.20,73.21 %,0.13,1.02,1263.40,-12.03,0.26,0.44,1263.20,-12.05
40.1,901.40,49.57 %,0.42,1.08,906.70,0.59,0.42,0.52,894.40,-0.78,559.60,68.23 %,0.23,1.07,540.60,-3.40,0.43,0.51,540.50,-3.41
40.2,731.50,39.79 %,0.30,1.06,735.45,0.54,0.36,0.51,727.30,-0.57,952.10,67.15 %,0.34,1.06,924.10,-2.94,0.45,0.50,920.95,-3.27
40.3,312.60,27.00 %,0.24,1.05,316.90,1.38,0.39,0.50,313.90,0.42,1660.80,73.99 %,0.36,1.10,1452.20,-12.56,0.45,0.52,1450.80,-12.64
45.1,1106.20,43.89 %,0.33,1.24,1105.70,-0.05,0.43,0.59,1099.55,-0.60,862.70,62.29 %,0.37,1.23,848.15,-1.69,0.44,0.58,836.25,-3.07
45.2,872.00,37.80 %,0.26,1.23,854.10,-2.05,0.41,0.59,846.10,-2.97,1593.60,70.97 %,0.59,1.24,1350.20,-15.27,0.53,0.60,1347.30,-15.46
