Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
100.3,0.10,0.40,0.02,0.34,0.00,5.354E+05,0.23,0.80,0.16,0.60,0.01,5.348E+05
200.1,1.66,3.29,0.61,9.62,0.01,5.365E+05,3.49,10.55,2.44,10.70,0.15,5.350E+05
200.2,1.54,4.86,1.29,6.94,0.24,5.349E+05,2.48,7.76,1.90,6.99,0.08,5.359E+05
200.3,0.17,0.60,0.06,0.93,0.00,5.340E+05,0.41,1.69,0.09,1.42,0.00,5.374E+05
300.1,4.17,15.46,3.44,20.55,1.55,5.334E+05,5.14,20.81,6.24,19.70,3.05,5.334E+05
300.2,3.18,11.03,2.29,10.73,0.27,5.367E+05,3.64,13.35,3.48,10.58,0.07,5.360E+05
300.3,0.62,1.85,0.21,2.77,0.03,5.363E+05,0.67,2.55,0.44,2.30,0.00,5.350E+05
400.1,3.04,6.45,1.54,19.93,0.00,5.349E+05,6.48,20.10,5.49,22.74,0.08,5.351E+05
400.2,2.15,12.52,1.49,9.51,0.02,5.329E+05,4.02,16.89,4.24,14.01,0.04,5.350E+05
400.3,0.84,2.40,0.49,3.36,0.03,5.351E+05,1.11,3.94,0.92,3.26,0.02,5.348E+05
500.1,4.39,8.41,2.10,25.47,0.01,5.353E+05,8.07,44.59,11.10,34.58,3.34,5.362E+05
500.2,2.13,4.32,0.58,13.08,0.00,5.349E+05,5.98,22.03,5.67,17.84,0.03,5.340E+05
500.3,0.36,0.84,0.03,3.10,0.00,5.345E+05,1.29,4.79,0.78,4.68,0.00,5.359E+05
600.1,5.24,11.87,2.15,30.16,0.00,5.331E+05,11.89,58.71,18.09,43.92,0.50,5.332E+05
600.2,5.40,22.50,5.11,23.43,0.18,5.334E+05,5.08,23.60,4.51,21.56,0.01,5.350E+05
600.3,0.46,0.90,0.05,3.58,0.00,5.340E+05,1.73,6.11,1.12,6.13,0.00,5.342E+05
700.1,10.32,43.08,10.78,44.49,1.33,5.347E+05,10.48,59.21,17.82,47.19,3.13,5.342E+05
700.2,2.90,6.03,0.64,18.29,0.00,5.367E+05,7.15,30.49,5.49,23.90,0.01,5.323E+05
700.3,0.90,6.15,0.29,4.56,0.00,5.352E+05,1.81,7.04,1.16,6.96,0.00,5.324E+05
800.1,10.96,57.95,9.78,37.03,0.07,5.333E+05,19.79,81.99,23.56,59.99,0.50,5.351E+05
800.2,4.73,33.92,3.23,20.69,0.01,5.338E+05,10.38,46.55,14.08,28.86,0.56,5.343E+05
800.3,1.23,7.53,0.40,5.21,0.00,5.361E+05,2.74,13.74,2.99,8.27,0.02,5.357E+05
900.1,9.46,18.23,4.57,47.21,0.00,5.338E+05,18.99,87.72,27.74,70.71,0.36,5.351E+05
900.2,3.82,7.52,1.11,25.37,0.00,5.351E+05,9.14,41.42,13.12,35.23,0.03,5.341E+05
900.3,1.21,2.01,0.15,6.40,0.00,5.354E+05,3.22,10.28,1.81,8.66,0.00,5.349E+05
1000.1,17.91,66.56,18.57,63.48,1.08,5.348E+05,15.50,53.84,14.54,53.80,0.07,5.363E+05
1000.2,9.81,35.49,9.27,41.32,0.12,5.327E+05,11.09,42.59,11.09,37.54,0.03,5.346E+05
1000.3,1.18,2.26,0.16,6.91,0.00,5.338E+05,3.21,17.12,4.09,9.56,0.02,5.354E+05
,,,,,,534616.84,,,,,,534746.04
