Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,902.50,50.54 %,0.17,0.86,890.17,-1.37,0.31,0.37,887.67,-1.64,1069.57,68.21 %,0.16,0.86,1052.07,-1.64,0.27,0.37,1047.57,-2.06
30.2,702.25,33.78 %,0.11,0.86,699.13,-0.44,0.26,0.37,697.25,-0.71,1045.84,51.20 %,0.24,0.87,1037.84,-0.76,0.29,0.38,1033.26,-1.20
30.3,339.00,20.06 %,0.02,0.84,341.00,0.59,0.02,0.36,341.00,0.59,895.75,40.39 %,0.13,0.85,893.75,-0.22,0.27,0.37,892.75,-0.33
35.1,1055.50,58.42 %,0.16,0.99,1039.84,-1.48,0.37,0.44,1031.17,-2.31,1249.67,62.02 %,0.35,1.01,1231.42,-1.46,0.38,0.45,1221.84,-2.23
35.2,814.00,31.39 %,0.25,1.01,825.00,1.35,0.36,0.44,820.00,0.74,1340.75,43.97 %,0.27,1.01,1317.00,-1.77,0.36,0.45,1313.88,-2.00
35.3,329.29,44.86 %,0.01,0.98,329.29,0.00,0.00,0.42,329.29,0.00,1639.00,46.67 %,0.88,1.04,1652.00,0.79,0.36,0.46,1657.25,1.11
40.1,1152.00,38.06 %,0.22,1.08,1155.88,0.34,0.42,0.51,1146.75,-0.46,1458.17,68.11 %,0.67,1.10,1419.09,-2.68,0.42,0.51,1414.26,-3.01
40.2,933.50,34.07 %,0.28,1.07,954.50,2.25,0.40,0.51,944.25,1.15,1573.25,45.16 %,0.28,1.09,1539.62,-2.14,0.43,0.52,1533.62,-2.52
40.3,340.86,54.27 %,0.01,1.04,339.43,-0.42,0.00,0.47,339.43,-0.42,1883.50,47.97 %,0.79,1.13,1893.75,0.54,0.44,0.53,1893.00,0.50
45.1,1338.00,35.84 %,0.39,1.24,1340.25,0.17,0.48,0.59,1328.25,-0.73,1644.25,43.45 %,0.68,1.25,1633.38,-0.66,0.56,0.61,1643.75,-0.03
45.2,987.71,71.59 %,0.02,1.22,971.71,-1.62,0.40,0.58,969.28,-1.87,1898.00,44.47 %,0.91,1.26,1969.25,3.75,0.53,0.61,1977.25,4.18
45.3,402.67,42.18 %,0.06,1.21,400.00,-0.66,0.06,0.57,400.00,-0.66,956.57,51.67 %,0.01,1.20,945.28,-1.18,0.01,0.56,945.28,-1.18
50.1,1442.00,37.00 %,0.29,1.32,1435.25,-0.47,0.57,0.65,1429.75,-0.85,1778.50,41.24 %,0.75,1.34,1779.75,0.07,0.57,0.66,1775.50,-0.17
50.2,1084.71,70.67 %,0.18,1.30,1058.36,-2.43,0.55,0.63,1053.21,-2.90,1590.14,69.19 %,0.09,1.30,1527.00,-3.97,0.39,0.63,1521.28,-4.33
50.3,470.75,28.89 %,0.19,1.31,470.88,0.03,0.50,0.64,466.25,-0.96,1203.67,59.15 %,0.14,1.31,1159.17,-3.70,0.37,0.63,1158.00,-3.79
100.1,2622.00,76.18 %,1.48,3.06,2561.12,-2.32,1.47,1.64,2534.00,-3.36,3404.67,84.27 %,2.62,3.02,3353.67,-1.50,1.52,1.65,3341.76,-1.85
100.2,1997.00,48.55 %,1.10,3.02,1915.00,-4.11,1.38,1.64,1895.50,-5.08,4199.00,56.04 %,2.89,3.07,4355.00,3.72,1.54,1.73,4342.50,3.42
100.3,781.86,90.52 %,0.05,3.05,735.57,-5.92,0.45,1.57,735.43,-5.94,2309.00,75.60 %,0.30,3.05,2020.64,-12.49,1.28,1.58,2019.43,-12.54
200.1,10580.00,96.19 %,2.83,6.89,4676.93,-55.79,3.53,3.88,4676.93,-55.79,10352.00,92.08 %,6.14,6.97,6601.75,-36.23,3.90,4.06,6548.00,-36.75
200.2,3708.50,75.72 %,2.93,6.88,3467.75,-6.49,3.31,3.91,3460.50,-6.69,10508.00,94.41 %,2.02,6.99,5624.43,-46.47,3.39,3.85,5619.35,-46.52
200.3,9892.02,98.83 %,0.19,7.09,1264.67,-87.22,3.17,3.78,1262.50,-87.24,8612.25,86.26 %,3.53,7.02,5832.75,-32.27,3.21,3.93,5825.25,-32.36
300.1,17582.00,98.33 %,0.42,11.01,6609.57,-62.41,5.87,6.79,6604.07,-62.44,17425.00,97.22 %,1.69,10.95,8828.28,-49.34,5.38,6.79,8825.49,-49.35
