Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana
600.3,29438.00,—,16.59,23.77,735.90,-97.50,21.64,23.65,719.60,-97.56,30596.00,—,20.23,23.63,28416.60,-7.12,13.74,25.15,28369.90,-7.28
700.1,36152.00,—,25.00,27.28,12699.80,-64.87,27.52,31.12,12579.90,-65.20,,,20.39,28.24,19595.70,,26.91,31.33,19563.00,
700.2,35912.00,—,21.34,27.84,6850.80,-80.92,28.91,31.01,6789.40,-81.09,,,25.00,27.78,18585.80,,28.52,31.63,18357.00,
700.3,—,—,17.04,28.97,810.00,,26.23,30.54,795.40,,,,16.78,28.87,12593.20,,26.54,30.68,12555.30,
800.1,,,23.84,34.73,12761.40,,32.54,39.55,12599.00,,,,28.49,33.99,23267.00,,35.06,40.11,23090.70,
800.2,,,25.33,34.17,8776.55,,34.10,39.96,8722.60,,,,28.04,34.50,10790.50,,34.65,40.55,10783.50,
800.3,,,16.11,35.79,3371.70,,33.79,39.71,3358.50,,,,24.46,35.36,21639.80,,34.71,39.71,21472.80,
900.1,,,33.18,39.02,7245.20,,44.20,47.68,7081.95,,,,30.97,39.61,25869.50,,42.27,49.54,25807.10,
900.2,,,20.26,40.73,8587.40,,39.19,47.75,8483.70,,,,32.46,39.00,23502.10,,46.44,49.15,23508.00,
900.3,,,23.04,40.92,1000.60,,44.81,48.83,987.20,,,,26.18,40.63,16249.40,,43.19,48.27,16114.20,
1000.1,,,33.75,44.69,13453.00,,50.48,58.11,13384.40,,,,35.38,44.21,17874.10,,53.09,58.42,17416.60,
1000.2,,,31.15,44.92,10596.20,,50.80,57.69,10550.20,,,,33.12,44.90,37101.20,,43.26,59.18,36829.90,
1000.3,,,28.03,45.67,1632.50,,50.42,58.33,1609.75,,,,37.22,45.02,47333.10,,33.45,60.01,47052.60,
