Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 2097 rows, 3042 columns and 73472 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [1e-01, 1e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 4e+01]
Found heuristic solution: objective 2339
Presolve removed 10 rows and 17 columns
Presolve time: 0.18s
Presolved: 2087 rows, 3025 columns, 65484 nonzeros
Variable types: 1980 continuous, 1045 integer (1038 binary)

Root relaxation: objective 6.917044e+00, 2986 iterations, 0.23 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4297  3135  315.47102   24   70 1035.99896  176.51793  83.0%   191  265s
  4349  3187  374.52600   50   75 1035.99896  176.51793  83.0%   194  270s
  4417  3255  436.77238   84   62 1035.99896  176.51793  83.0%   196  275s
  4521  3359  461.80213  136   52 1035.99896  176.51793  83.0%   197  280s
  4719  3557  505.82964  235   45 1035.99896  176.51793  83.0%   194  285s
  4979  3815  577.38476  365   48 1035.99896  176.51793  83.0%   188  290s
  5264  4099  720.08527  507   39 1035.99896  176.51793  83.0%   181  295s
  5654  4486  843.91231  702   34 1035.99896  176.51793  83.0%   172  300s
  5920  4696  258.92919   18   94 1035.99896  177.27108  82.9%   169  306s
  5972  4748  279.77216   42   63 1035.99896  177.27108  82.9%   171  310s
  6022  4798  471.88565   57   68 1035.99896  177.27108  82.9%   174  315s
  6043  4819  408.41433   62   54 1035.99896  177.27108  82.9%   178  320s
  6214  4990  457.59712  178   38 1035.99896  177.27108  82.9%   176  325s
  6904  5668  903.06403  746   27 1035.99896  177.27108  82.9%   161  330s
  7180  5830  205.81299   18  116 1035.99896  183.30608  82.3%   157  335s
  7184  5834  213.20939   19  104 1035.99896  183.30608  82.3%   160  340s
  7192  5842  270.60448   21   98 1035.99896  183.30608  82.3%   164  345s
  7201  5851  312.52499   25   93 1035.99896  183.30608  82.3%   168  350s
  7208  5858  305.02622   25   96 1035.99896  183.30608  82.3%   172  355s
  7237  5887  392.68373   39   72 1035.99896  183.30608  82.3%   175  360s
  7267  5917  537.91296   47   68 1035.99896  183.30608  82.3%   178  365s
  7366  6016  522.86333   95   59 1035.99896  183.30608  82.3%   178  370s
  7565  6215  569.80312  238   42 1035.99896  183.30608  82.3%   176  375s
  7830  6458  276.39630   16  111 1035.99896  183.69612  82.3%   173  380s
  7841  6469  290.59562   22  102 1035.99896  183.69612  82.3%   175  385s
  7860  6488  504.14367   32   82 1035.99896  183.69612  82.3%   178  390s
  7872  6500  315.04507   35   82 1035.99896  183.69612  82.3%   181  395s
  7890  6514  573.35971   41   81 1035.99896  183.69612  82.3%   185  400s
  7919  6543  575.84386   53   76 1035.99896  183.69612  82.3%   188  405s
  7957  6581  628.66092   70   65 1035.99896  183.69612  82.3%   190  410s
  8031  6633  209.16254   16  115 1035.99896  184.12767  82.2%   190  415s
  8045  6647  501.92069   25   76 1035.99896  184.12767  82.2%   194  420s
  8173  6764 1033.72422  138   15 1035.99896  184.12767  82.2%   193  425s
  8191  6776  481.09061   28   80 1035.99896  184.38847  82.2%   196  430s
  8457  7042  783.00960  294   31 1035.99896  184.38847  82.2%   191  435s
  8701  7270  407.11996   20   96 1035.99896  199.05756  80.8%   188  440s
  8758  7317  303.60705   20  104 1035.99896  199.52173  80.7%   190  445s
  8803  7362  689.64979   65   62 1035.99896  199.52173  80.7%   191  450s
  9189  7747  860.00214  451   32 1035.99896  199.52173  80.7%   185  455s
  9369  7907  322.84878   20   92 1035.99896  199.55160  80.7%   184  460s
  9376  7914  439.71688   23   88 1035.99896  199.55160  80.7%   187  466s
  9381  7919  550.02164   23   86 1035.99896  199.55160  80.7%   189  470s
  9386  7924  546.68501   24   81 1035.99896  199.55160  80.7%   192  475s
  9395  7933  387.03348   27   83 1035.99896  199.55160  80.7%   194  480s
  9417  7955  409.59898   36   77 1035.99896  199.55160  80.7%   196  485s
  9442  7980  567.37794   45   71 1035.99896  199.55160  80.7%   198  490s
  9479  8017  565.12411   67   66 1035.99896  199.55160  80.7%   200  495s
  9608  8115  204.96623   17  121 1035.99896  202.20659  80.5%   200  500s
  9615  8122  461.43442   24   91 1035.99896  202.20659  80.5%   202  505s
  9820  8327  688.45216  229   40 1035.99896  202.20659  80.5%   199  510s
 10150  8639  369.71799   20   85 1035.99896  202.21409  80.5%   195  515s
 10168  8657  532.07928   28   82 1035.99896  202.21409  80.5%   196  520s
 10203  8679  842.36565  666  111 1035.99896  202.21409  80.5%   197  591s
H10207  8247                    1020.1418370  202.21409  80.2%   197  600s
 10210  8249  587.48295  369  104 1020.14184  202.21409  80.2%   197  606s
 10212  8250  412.61506   83   95 1020.14184  202.21409  80.2%   197  611s
 10216  8253  897.85949  760  119 1020.14184  202.21409  80.2%   197  616s
 10220  8255  899.77378  452  124 1020.14184  202.21409  80.2%   196  621s
 10224  8258  604.01734  396  146 1020.14184  202.21409  80.2%   196  625s
 10230  8262  587.48295  369  141 1020.14184  202.21409  80.2%   196  630s
 10236  8266  897.85949  760  143 1020.14184  202.21409  80.2%   196  635s
 10242  8270  535.78479  330  151 1020.14184  202.21409  80.2%   196  640s
 10249  8275  652.65839  102  160 1020.14184  202.21409  80.2%   196  645s
 10255  8279  502.39397  307  146 1020.14184  202.21409  80.2%   196  650s
 10261  8283  475.99617  134  158 1020.14184  202.21409  80.2%   196  655s
 10267  8287  463.12428  140  158 1020.14184  202.21409  80.2%   196  660s
 10273  8291  660.66560  439  158 1020.14184  202.21409  80.2%   195  665s
 10280  8295  899.77378  452  161 1020.14184  202.21409  80.2%   195  670s
 10286  8299  464.26710  147  151 1020.14184  202.21409  80.2%   195  675s
 10292  8303  412.61506   83  160 1020.14184  202.21409  80.2%   195  680s
 10299  8308  871.46389   85  167 1020.14184  202.21409  80.2%   195  685s
 10305  8312  474.06775  306  161 1020.14184  202.21409  80.2%   195  690s
 10311  8316  681.15536  456  161 1020.14184  202.21409  80.2%   195  695s
H10313  7900                    1018.2846960  202.21409  80.1%   195  697s
 10318  7904  291.59727   39  157 1018.28470  202.21409  80.1%   195  700s
 10324  7908  604.01734  396  163 1018.28470  202.21409  80.1%   194  705s
 10331  7912  681.15536  456  156 1018.28470  202.21409  80.1%   194  710s
H10337  7518                    1014.2847000  202.21409  80.1%   194  715s
 10344  7523  604.01734  396  166 1014.28470  202.21409  80.1%   194  720s
 10350  7527  587.48295  369  169 1014.28470  202.21409  80.1%   194  725s
 10356  7531  897.85949  760  168 1014.28470  202.21409  80.1%   194  730s
 10362  7535  535.78479  330  164 1014.28470  202.21409  80.1%   194  735s
 10368  7539  538.58207  288  166 1014.28470  202.21409  80.1%   194  740s
 10374  7543  612.34058  286  162 1014.28470  202.21409  80.1%   194  745s
 10380  7547  899.77378  452  167 1014.28470  202.21409  80.1%   193  752s
 10384  7550  604.01734  396  164 1014.28470  202.21409  80.1%   193  755s
 10390  7554  587.48295  369  165 1014.28470  202.21409  80.1%   193  760s
H10393  7175                    1013.7132720  202.21409  80.1%   193  763s
 10397  7177  596.39795  405  162 1013.71327  202.21409  80.1%   193  765s
 10402  7181  535.78479  330  158 1013.71327  202.21409  80.1%   193  770s
 10404  7182  604.01734  396  164 1013.71327  202.21409  80.1%   193  777s
 10406  7185  202.21409   25  161 1013.71327  202.21409  80.1%   206  783s
 10407  7186  202.21409   25  153 1013.71327  202.21409  80.1%   206  789s
 10408  7187  202.21409   26  137 1013.71327  202.21409  80.1%   207  794s
 10409  7187  202.21409   26  135 1013.71327  202.21409  80.1%   207  799s
 10410  7188  202.21409   27   89 1013.71327  202.21409  80.1%   208  804s
 10411  7189  253.42085   27   96 1013.71327  202.21409  80.1%   208  809s
 10412  7189  215.04698   28   81 1013.71327  202.21409  80.1%   209  813s
 10413  7190  203.57848   28   81 1013.71327  202.21409  80.1%   209  815s
 10415  7191  354.47271   29   92 1013.71327  202.21409  80.1%   210  823s
 10416  7192  272.33643   30   92 1013.71327  202.21409  80.1%   210  827s
 10418  7193  343.86744   31   91 1013.71327  202.21409  80.1%   211  830s
 10423  7197  424.15692   33   87 1013.71327  202.21409  80.1%   211  835s
 10429  7201  427.11954   36   88 1013.71327  202.21409  80.1%   212  840s
 10443  7210  512.74786   43   83 1013.71327  202.21409  80.1%   213  845s
 10462  7223  629.95572   53   77 1013.71327  202.21409  80.1%   214  850s
 10503  7250  661.59499   73   68 1013.71327  202.21409  80.1%   215  855s
 10551  7282  669.03436   97   56 1013.71327  202.21409  80.1%   215  860s
 10590  7308  656.17139  117   53 1013.71327  202.21409  80.1%   215  865s
 10640  7341  664.66539  142   48 1013.71327  202.21409  80.1%   215  870s
 10695  7378  709.23522  169   45 1013.71327  202.21409  80.1%   215  875s
 10761  7422  699.47230  202   32 1013.71327  202.21409  80.1%   214  880s
 10835  7471  726.18731  239   37 1013.71327  202.21409  80.1%   214  885s
 10911  7522  746.00396  277   34 1013.71327  202.21409  80.1%   213  890s
 11000  7581  698.86518  322   36 1013.71327  202.21409  80.1%   212  895s
 11093  7643  736.15473  368   36 1013.71327  202.21409  80.1%   211  900s
 11211  7722  729.92784  427   38 1013.71327  202.21409  80.1%   210  905s
 11337  7806  731.06916  490   37 1013.71327  202.21409  80.1%   208  910s
 11455  7885  769.27348  549   30 1013.71327  202.21409  80.1%   207  915s
 11647  8013  768.23624  645   24 1013.71327  202.21409  80.1%   204  920s
 11874  8164  757.11212  759   28 1013.71327  202.21409  80.1%   200  925s
 12111  8311  987.67434  878   19 1013.71327  202.21409  80.1%   196  930s
 12127  8310  206.96101   27  100 1013.71327  202.21409  80.1%   197  935s
 12132  8313  315.73246   29   87 1013.71327  202.21409  80.1%   199  940s
 12151  8326  554.04897   39   81 1013.71327  202.21409  80.1%   200  945s
 12187  8350  609.05451   57   88 1013.71327  202.21409  80.1%   201  950s
 12241  8386  647.78381   84   78 1013.71327  202.21409  80.1%   201  955s
 12318  8437  685.67548  122   51 1013.71327  202.21409  80.1%   201  960s
 12485  8548  721.02157  206   41 1013.71327  202.21409  80.1%   200  965s
 12680  8678  771.26189  303   35 1013.71327  202.21409  80.1%   198  970s
 12931  8846  772.44546  429   33 1013.71327  202.21409  80.1%   195  975s
