Instância,Correlated,,,,,,,,Anticorrelated ,,,,,,,
,GS,,,,FER,,,,GS,,,,FER,,,
,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo
35.2,4.2E+05,18.916,506.333,10800.000,5.8E+05,22.317,506.333,10800.000,4.2E+05,37.889,1256.000,10800.000,3.3E+05,37.785,1250.500,10800.000
35.3,5.2E+05,17.062,340.500,10800.000,5.8E+05,16.300,340.500,10800.000,4.1E+05,37.619,1255.330,10800.000,7.7E+05,41.220,1256.670,10800.000
38.1,,,,,,,,,,,,,,,,
38.2,,,,,,,,,,,,,,,,
38.3,,,,,,,,,,,,,,,,
40.1,,,,,,,,,,,,,,,,
40.2,,,,,,,,,,,,,,,,
40.3,,,,,,,,,,,,,,,,
42.1,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,,
42.3,,,,,,,,,,,,,,,,
45.1,,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,,
45.3,,,,,,,,,,,,,,,,
48.1,,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,,,
48.3,,,,,,,,,,,,,,,,
50.1,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,,
50.3,,,,,,,,,,,,,,,,
