Instância,Correlated,,,,,,,,Anticorrelated ,,,,,,,
,GS,,,,FER,,,,GS,,,,FER,,,
,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo
5.1,7.1E+01,0.000,117.000,0.020,1.3E+03,0.000,117.000,0.170,6.7E+01,0.000,156.500,0.020,2.4E+03,0.000,156.500,0.250
5.2,1.8E+02,0.000,155.000,0.040,3.7E+02,0.000,155.000,0.050,4.3E+02,0.000,195.500,0.060,4.2E+02,0.000,195.500,0.070
5.3,1.2E+02,0.000,132.000,0.030,9.1E+02,0.000,132.000,0.120,1.6E+02,0.000,181.000,0.040,1.1E+03,0.000,181.000,0.140
7.1,9.0E+02,0.000,202.500,0.200,3.5E+03,0.000,202.500,2.270,7.4E+02,0.000,207.500,0.170,7.1E+03,0.000,207.500,2.550
7.2,8.2E+02,0.000,207.000,0.200,1.3E+03,0.000,207.000,0.620,1.8E+04,0.002,273.500,7.760,8.8E+03,0.000,273.500,2.660
7.3,2.4E+01,0.000,88.333,0.060,1.1E+03,0.000,88.333,0.650,8.9E+03,0.000,242.333,3.450,8.4E+03,0.000,242.333,3.780
10.1,9.4E+03,0.000,250.500,5.890,4.7E+04,0.000,250.500,23.050,1.5E+05,0.010,316.750,122.280,1.3E+06,0.000,316.750,749.220
10.2,2.2E+04,0.000,248.000,19.150,8.6E+03,0.000,248.000,6.310,4.5E+06,0.010,393.500,7 214.880,1.5E+06,0.000,393.500,2 576.620
10.3,9.4E+02,0.000,105.000,0.280,7.5E+02,0.000,105.000,2.550,3.3E+06,0.010,357.333,3 829.090,2.7E+06,0.000,357.333,4 554.430
12.1,2.4E+05,0.010,323.250,277.490,2.3E+06,0.000,323.250,1 126.070,7.8E+06,7.916,412.250,10800.000,6.8E+06,16.980,412.250,10800.000
12.2,2.6E+05,0.009,303.500,476.700,8.3E+04,0.000,303.500,132.680,3.6E+06,21.871,459.000,10800.000,3.5E+06,17.506,457.000,10800.000
12.3,2.9E+03,0.000,210.666,2.410,2.5E+03,0.000,210.666,3.650,4.5E+06,19.179,422.000,10800.000,3.7E+06,16.983,422.000,10800.000
15.1,2.4E+06,0.010,350.750,5 590.320,7.0E+06,9.765,350.750,10800.000,3.4E+06,20.016,515.750,10800.000,6.5E+06,28.260,515.750,10800.000
15.2,1.1E+06,0.010,300.000,3 714.220,1.7E+06,0.000,300.000,3 254.920,2.2E+06,33.212,586.000,10800.000,2.3E+06,29.991,583.500,10800.000
15.3,3.0E+04,0.007,175.666,37.700,4.2E+04,0.000,175.666,46.690,2.6E+06,30.420,554.333,10800.000,7.1E+06,31.269,554.333,10800.000
17.1,3.4E+06,10.460,389.500,10800.000,2.0E+06,16.688,389.500,10800.000,2.6E+06,19.294,521.750,10800.000,3.8E+06,25.443,521.750,10800.000
17.2,1.7E+06,16.021,398.500,10800.000,2.1E+06,13.551,398.500,10800.000,1.7E+06,35.489,664.500,10800.000,1.7E+06,32.226,662.500,10800.000
