  4452  4305   50.25797   87  104  962.00000    6.60606  99.3%   339  699s
  4453  4305   44.41921   88  103  962.00000    6.60606  99.3%   339  700s
  4458  4305   57.82340   90  101  962.00000    6.60606  99.3%   343  711s
  4462  4305   55.48513   92  103  962.00000    6.60606  99.3%   347  721s
  4468  4305   63.05114   95  101  962.00000    6.60606  99.3%   351  734s
  4469  4306   47.48956   96  103  962.00000    6.60606  99.3%   353  738s
  4470  4307   52.43102   96  104  962.00000    6.60606  99.3%   358  748s
  4471  4307   47.71670   97  102  962.00000    6.60606  99.3%   358  751s
  4475  4305   49.95271   99  104  962.00000    6.60606  99.3%   361  759s
  4476  4306   52.94424   99  102  962.00000    6.60606  99.3%   365  769s
  4477  4306   49.95271  100  103  962.00000    6.60606  99.3%   365  770s
  4481  4307   62.70027  102  103  962.00000    6.60606  99.3%   368  780s
  4487  4306   72.34488  105  101  962.00000    6.60606  99.3%   374  797s
  4489  4307   71.03001  106  102  962.00000    6.60606  99.3%   379  808s
  4491  4308   71.83949  107  102  962.00000    6.60606  99.3%   384  821s
  4493  4309   79.15766  108  101  962.00000    6.60606  99.3%   390  837s
  4495  4310   65.17058  109  102  962.00000    6.60606  99.3%   397  856s
  4496  4311   51.01356  110  102  962.00000    6.60606  99.3%   399  861s
  4497  4312   66.02929  110  102  962.00000    6.60606  99.3%   405  876s
  4501  4312   72.88095  112  103  962.00000    6.60606  99.3%   412  894s
  4505  4313   82.02280  114  102  962.00000    6.60606  99.3%   417  910s
  4506  4313   53.48485  115  101  962.00000    6.60606  99.3%   419  916s
  4507  4313   58.99614  115  102  962.00000    6.60606  99.3%   423  925s
  4511  4315   67.48067  118  102  962.00000    6.60606  99.3%   427  937s
  4512  4315   54.27588  119  102  962.00000    6.60606  99.3%   428  940s
  4513  4315   66.18537  119  103  962.00000    6.60606  99.3%   433  951s
  4517  4316   79.93939  122  100  962.00000    6.60606  99.3%   437  961s
  4519  4317   89.21678  123  102  962.00000    6.60606  99.3%   442  974s
  4520  4318   55.00000  124  101  962.00000    6.60606  99.3%   443  975s
  4521  4319   73.77431  124  104  962.00000    6.60606  99.3%   449  989s
  4522  4319   55.00000  125  100  962.00000    6.60606  99.3%   449  990s
  4523  4320   70.73337  125  101  962.00000    6.60606  99.3%   456 1005s
  4524  4321   55.01768  126  103  962.00000    6.60606  99.3%   457 1010s
  4525  4320   72.84365  126  101  962.00000    6.60606  99.3%   461 1022s
  4531  4320   73.38990  129  101  962.00000    6.60606  99.3%   467 1037s
  4533  4322   70.17565  130  102  962.00000    6.60606  99.3%   474 1053s
  4535  4323   83.82736  131  102  962.00000    6.60606  99.3%   479 1064s
  4537  4324   65.12626  132  100  962.00000    6.60606  99.3%   483 1073s
  4539  4325   82.76992  133  101  962.00000    6.60606  99.3%   489 1086s
  4541  4326   67.21437  134  101  962.00000    6.60606  99.3%   492 1094s
  4542  4327   56.78644  135  101  962.00000    6.60606  99.3%   494 1101s
  4543  4327   61.02020  135   99  962.00000    6.60606  99.3%   499 1113s
  4547  4327   67.08316  138  101  962.00000    6.60606  99.3%   500 1117s
  4550  4328   70.60725  139  101  962.00000    6.60606  99.3%   502 1121s
  4552  4329   81.07373  140  102  962.00000    6.60606  99.3%   505 1128s
  4558  4329   80.65539  143  105  962.00000    6.60606  99.3%   511 1144s
  4559  4330   58.00000  144  100  962.00000    6.60606  99.3%   511 1145s
  4560  4331   74.97685  144  103  962.00000    6.60606  99.3%   517 1157s
  4562  4331   71.60712  145  101  962.00000    6.60606  99.3%   522 1169s
  4563  4332   58.00000  146  100  962.00000    6.60606  99.3%   522 1170s
  4564  4332   85.83084  146  103  962.00000    6.60606  99.3%   530 1186s
  4566  4334   85.74592  147  104  962.00000    6.60606  99.3%   534 1197s
  4568  4335   71.01612  148  101  962.00000    6.60606  99.3%   540 1211s
  4569  4336   58.00964  149  100  962.00000    6.60606  99.3%   542 1217s
  4570  4336   67.39057  149  100  962.00000    6.60606  99.3%   547 1229s
  4573  4336   58.61022  151  100  962.00000    6.60606  99.3%   548 1231s
  4574  4337   73.53642  151  101  962.00000    6.60606  99.3%   552 1241s
  4577  4337   59.09470  153  101  962.00000    6.60606  99.3%   553 1245s
  4578  4338   64.08616  153   99  962.00000    6.60606  99.3%   556 1252s
  4584  4338   84.77728  156  103  962.00000    6.60606  99.3%   563 1273s
  4586  4338   72.33104  157   99  962.00000    6.60606  99.3%   568 1284s
  4587  4339   60.00000  158   99  962.00000    6.60606  99.3%   568 1286s
  4588  4338   69.58958  158  101  962.00000    6.60606  99.3%   573 1295s
  4590  4339   65.77961  159  100  962.00000    6.60606  99.3%   577 1304s
  4592  4338 infeasible  160       962.00000    6.60606  99.3%   577 1305s
  4596  4338   65.70629  162  100  962.00000    6.60606  99.3%   580 1313s
  4597  4338   75.91560  163  101  962.00000    6.60606  99.3%   583 1320s
  4599  4340   62.39272  164  103  962.00000    6.60606  99.3%   586 1329s
  4600  4340   69.48562  164  101  962.00000    6.60606  99.3%   591 1342s
  4605  4341   86.00000  167   98  962.00000    6.60606  99.3%   596 1356s
  4607  4341   71.45051  168  100  962.00000    6.60606  99.3%   601 1366s
  4608  4342   63.90370  169  102  962.00000    6.60606  99.3%   602 1371s
  4609  4342   70.28434  169  101  962.00000    6.60606  99.3%   606 1380s
  4619  4342   71.09043  175  100  962.00000    6.60606  99.3%   608 1387s
  4624  4342   80.65523  178  105  962.00000    6.60606  99.3%   614 1402s
  4625  4343   66.00000  179  100  962.00000    6.60606  99.3%   614 1405s
  4626  4343   79.92232  179  102  962.00000    6.60606  99.3%   620 1419s
  4627  4343   66.03169  180  102  962.00000    6.60606  99.3%   621 1423s
  4628  4344   79.67198  180  101  962.00000    6.60606  99.3%   627 1437s
  4631  4343   66.66024  182  100  962.00000    6.60606  99.3%   629 1444s
  4632  4344   73.11478  182  100  962.00000    6.60606  99.3%   633 1457s
  4635  4345   76.94766  184  100  962.00000    6.60606  99.3%   639 1472s
  4637  4346   83.51166  185  101  962.00000    6.60606  99.3%   644 1484s
  4638  4347   67.00000  186  101  962.00000    6.60606  99.3%   644 1486s
  4639  4347   82.88734  186  102  962.00000    6.60606  99.3%   648 1498s
