Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
40.1,3.3E+05,90.11 %,858.00,1.0E+05,83.64 %,857.67,2.3E+05,51.70 %,860.67,2.7E+05,91.82 %,770.00,6.3E+04,92.67 %,737.00,1.7E+05,93.45 %,855.00
40.2,3.4E+05,89.54 %,693.00,9.7E+04,90.24 %,666.00,1.4E+05,90.15 %,650.00,2.7E+05,85.81 %,740.33,1.0E+05,81.41 %,749.67,3.3E+05,85.62 %,737.33
40.3,3.0E+05,77.39 %,332.33,9.6E+04,76.00 %,333.33,1.3E+05,80.22 %,332.00,2.8E+05,60.72 %,328.00,7.1E+04,95.91 %,342.00,1.1E+05,84.73 %,334.00
45.1,2.4E+05,87.87 %,903.33,1.2E+05,82.75 %,896.67,3.2E+05,87.70 %,862.00,2.1E+05,85.92 %,1 188.33,5.7E+04,94.52 %,1 149.67,2.8E+05,93.03 %,1 153.33
45.2,1.9E+05,91.26 %,672.00,8.3E+04,93.87 %,750.00,9.6E+04,91.67 %,672.00,2.5E+05,100.00 %,871.00,4.6E+04,90.48 %,851.00,9.8E+04,90.56 %,784.00
45.3,2.1E+05,92.08 %,368.67,5.4E+04,70.92 %,376.00,9.1E+04,90.22 %,368.00,2.1E+05,77.30 %,410.33,2.2E+05,67.48 %,410.00,4.9E+04,87.55 %,412.33
50.1,1.2E+05,95.26 %,811.00,4.8E+04,96.81 %,846.00,4.7E+04,93.08 %,824.00,1.8E+05,92.11 %,1 112.33,4.4E+04,93.49 %,1193.00,7.4E+04,95.52 %,1108.00
50.2,2.0E+05,87.60 %,902.67,1.4E+05,84.93 %,869.33,1.2E+05,94.02 %,859.00,8.1E+04,86.96 %,829.00,3.5E+04,91.38 %,882.00,1.3E+05,93.03 %,804.00
50.3,1.7E+05,93.69 %,399.00,3.9E+04,92.53 %,375.00,7.8E+04,89.52 %,372.00,1.5E+05,49.56 %,425.00,5.1E+04,79.80 %,425.67,1.2E+05,81.93 %,424.33
100.1,2.3E+04,100.00 %,2124.00,7.1E+03,100.00 %,2362.00,5.7E+03,99.10 %,2229.00,4.7E+03,100.00 %,3569.00,1.1E+04,100.00 %,3211.00,5.3E+03,99.24 %,2761.00
100.2,1.1E+04,99.95 %,1966.00,8.2E+03,100.00 %,1 800.66,6.3E+03,99.52 %,1 995.66,4.6E+03,99.77 %,2 458.33,5.6E+03,100.00 %,2124.00,6.3E+03,99.56 %,2517.00
100.3,9.0E+03,90.40 %,746.00,1.3E+04,100.00 %,738.67,6.6E+03,97.35 %,817.33,6.0E+03,100.00 %,1021.00,5.4E+03,100.00 %,918.00,5.6E+03,98.50 %,865.00
200.1,8.8E+01,99.95 %,7 841.33,5.5E+03,100.00 %,4 711.33,1.6E+04,100.00 %,5 429.33,5.6E+02,100.00 %,4242.00,6.4E+03,100.00 %,6723.00,2.0E+04,97.26 %,7257.00
200.2,1.6E+02,100.00 %,3 556.66,9.2E+03,100.00 %,3007.00,1.2E+04,99.73 %,3006.00,4.8E+03,100.00 %,6036.00,8.3E+03,100.00 %,8856.00,1.9E+04,99.46 %,4668.00
200.3,1.4E+02,100.00 %,5 403.33,4.8E+03,100.00 %,1 305.67,1.3E+04,99.46 %,1289.00,2.4E+02,99.32 %,9 718.66,—,98.32 %,9 741.66,1.9E+04,99.63 %,1 367.67
300.1,1.6E+01,100.00 %,11 761.30,—,98.94 %,4707.00,2.0E+00,100.00 %,11435.00,3.7E+01,100.00 %,13216.00,—,—,—,2.0E+00,100.00 %,12526.00
300.2,1.6E+01,100.00 %,14 747.70,7.0E+00,100.00 %,5 709.66,1.0E+00,100.00 %,10637.00,3.2E+02,100.00 %,13360.00,—,—,—,4.0E+00,100.00 %,11111.00
300.3,5.7E+01,99.95 %,4959.00,5.0E+00,100.00 %,4326.00,1.0E+00,100.00 %,7 845.33,6.7E+01,100.00 %,18427.00,—,—,—,3.0E+00,100.00 %,8758.00
400.1,—,—,—,—,—,—,—,100.00 %,15246.00,2.0E+01,100.00 %,17919.00,—,—,—,1.0E+00,100.00 %,17307.00
400.2,7.0E+00,100.00 %,14 304.70,—,—,—,1.0E+00,100.00 %,11275.00,3.2E+02,100.00 %,19 335.60,—,—,—,2.0E+00,100.00 %,13462.00
400.3,1.0E+00,100.00 %,10304.00,—,100.00 %,7 220.66,2.0E+00,100.00 %,6 484.99,1.7E+01,100.00 %,19397.00,—,—,—,2.0E+00,100.00 %,14527.00
500.1,—,100.00 %,22296.00,—,—,—,—,100.00 %,21634.00,3.3E+01,100.00 %,21599.00,—,—,—,—,100.00 %,19881.00
500.2,—,100.00 %,19071.00,—,—,—,—,100.00 %,19908.00,1.0E+00,100.00 %,23053.00,—,—,—,1.0E+00,100.00 %,20309.00
500.3,—,100.00 %,20917.00,—,—,—,—,100.00 %,16074.00,1.0E+00,100.00 %,24527.00,—,—,—,—,100.00 %,24484.00
600.1,—,100.00 %,25 677.60,—,—,—,—,100.00 %,23266.00,—,100.00 %,25545.00,—,—,—,—,100.00 %,24969.00
600.2,—,100.00 %,21411.00,—,—,—,—,100.00 %,23312.00,—,100.00 %,28692.00,—,—,—,—,100.00 %,23 370.60
600.3,—,100.00 %,23394.00,—,—,—,—,100.00 %,11729.00,—,—,—,—,—,—,—,100.00 %,13958.00
700.1,—,—,—,—,—,—,2.0E+00,100.00 %,29843.00,—,100.00 %,31240.00,—,—,—,—,100.00 %,29539.00
700.2,—,100.00 %,26 549.30,—,—,—,—,100.00 %,25188.00,—,100.00 %,32 953.30,—,—,—,—,100.00 %,25055.00
700.3,—,100.00 %,9628.00,—,—,—,—,100.00 %,21484.00,—,100.00 %,34610.00,—,—,—,—,100.00 %,27819.00
