Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,5.1E+02,0.08s ,165.00,1.1E+03,0.16s ,165.00,5.4E+02,0.08s ,165.00,9.9E+02,0.17s ,190.33,1.3E+03,0.18s ,190.33,6.8E+02,0.11s ,190.33
5.2,2.3E+02,0.06s ,133.25,1.4E+03,0.18s ,133.25,7.4E+02,0.11s ,133.25,1.4E+03,0.21s ,194.00,2.4E+03,0.3s ,194.00,2.2E+03,0.29s ,194.00
5.3,2.4E+02,0.07s ,108.00,0.0E+00,0.01s ,108.00,2.5E+01,0.02s ,108.00,1.2E+03,0.18s ,198.50,5.4E+02,0.08s ,198.50,2.3E+02,0.04s ,198.50
7.1,1.5E+04,6.27s ,247.33,3.8E+03,1.57s ,247.33,5.0E+03,1.7s ,247.33,2.2E+03,0.62s ,237.25,1.0E+04,5.05s ,237.25,1.2E+04,5.13s ,237.25
7.2,1.3E+03,0.45s ,197.00,1.8E+03,0.58s ,197.00,4.1E+02,0.11s ,197.00,2.1E+04,11.17s ,277.00,5.4E+03,1.91s ,277.00,6.7E+03,1.82s ,277.00
7.3,3.9E+02,0.22s ,149.33,3.2E+02,0.12s ,149.33,2.0E+03,0.6s ,149.33,1.2E+04,3.81s ,259.33,1.4E+04,8.09s ,259.33,1.6E+04,5.93s ,259.33
10.1,8.2E+04,83.74s ,277.75,1.0E+05,117.59s ,277.75,1.2E+05,116.77s ,277.75,3.9E+05,425.47s ,352.75,1.4E+06,1676.68s ,352.75,2.0E+06,2882.42s ,352.75
10.2,3.0E+05,334.22s ,330.00,6.5E+04,59.72s ,330.00,5.0E+04,47.7s ,330.00,2.7E+06,16.71 %,404.00,2.5E+06,3432.23s ,402.50,1.9E+06,2649.17s ,402.50
