Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,142.67,18.55s,142.67,5.80s,142.67,26.61s,142.67,171.17,3.03s,171.17,8.92s,171.17,74.13s,171.17
100.1,4.50_{3},116261.11 %,5236.25,74616.67 %,3362.25,74505.56 %,3357.25,1.50_{3},250033.33 %,3752.00,250100.00 %,3753.00,250033.33 %,3752.00
100.2,4.67_{3},86664.29 %,4049.01,49971.43 %,2336.67,55567.86 %,2597.84,3.83_{3},127295.65 %,4883.51,65243.48 %,2504.84,75595.65 %,2901.67
100.3,4.25_{3},93452.94 %,3976.00,20288.24 %,866.50,23300.00 %,994.50,7.00_{3},24635.71 %,1731.50,12964.29 %,914.50,13642.86 %,962.00
200.1,95.50_{2},--,--,5590.23 %,5434.18,7447.12 %,7207.51,--,--,--,--,8151.00,--,7011.00
200.2,21.00_{3},--,--,23354.76 %,4925.50,21523.81 %,4541.00,--,--,--,--,9537.00,--,6307.00
200.3,3.00_{3},346166.67 %,10388.00,50741.67 %,1525.25,48091.67 %,1445.75,0.33_{3},859950.00 %,2866.84,2950100.00 %,9834.02,754950.00 %,2516.84
300.1,--,--,--,--,--,--,11802.00,--,--,--,--,--,--,13001.00
300.2,--,--,11715.00,--,--,--,12194.00,--,--,--,--,--,--,17376.00
300.3,--,--,7520.50,--,4485.00,--,7141.00,--,--,--,--,--,--,7921.00
400.1,--,--,--,--,--,--,17258.00,--,--,19476.50,--,--,--,17899.00
400.2,217.50_{2},--,--,3037.24 %,6823.51,5178.16 %,11480.02,--,--,--,--,--,--,18864.25
400.3,--,--,16716.75,--,5436.00,--,11261.00,--,--,19727.50,--,--,--,10947.00
500.1,--,--,--,--,--,--,21461.04,--,--,--,--,--,--,21924.00
500.2,--,--,--,--,--,--,20578.50,--,--,--,--,--,--,23505.50
500.3,--,--,20465.75,--,--,--,18731.00,--,--,--,--,--,--,24402.00
600.1,--,--,--,--,--,--,25304.50,--,--,--,--,--,--,30890.06
600.2,--,--,25922.00,--,--,--,27573.50,--,--,--,--,--,--,24976.05
600.3,--,--,23984.71,--,--,--,30849.06,--,--,29490.00,--,--,--,15188.00
700.1,--,--,--,--,--,--,--,--,--,--,--,--,--,31481.00
700.2,--,--,--,--,--,--,35377.00,--,--,--,--,--,--,--
700.3,--,--,--,--,--,--,--,--,--,--,--,--,--,35229.00
