Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,202.00,107.35s,202.00,0.26s,202.00,0.12s,202.00,144.20,23.11s,144.20,0.16s,144.20,0.19s,144.20
5.2,63.40,3.95s,63.40,0.18s,63.40,0.10s,63.40,185.20,39.91s,185.20,0.75s,185.20,0.25s,185.20
5.3,71.70,22.01s,71.70,0.14s,71.70,0.05s,71.70,196.20,16.94s,196.20,0.42s,196.20,0.14s,196.20
7.1,232.18,564.76s,232.20,4.92s,232.20,1.54s,232.20,199.99,94.24s,200.00,1.45s,200.00,2.14s,200.00
7.2,106.60,46.51s,106.60,0.73s,106.60,0.72s,106.60,262.00,822.42s,262.00,6.95s,262.00,12.86s,262.00
7.3,147.10,68.14s,147.10,0.81s,147.10,0.81s,147.10,289.00_{23},0.00 %,289.00,23.51s,289.00,28.35s,289.00
10.1,348.20_{23},6.43 %,370.60,1087.19s,348.20,592.58s,348.20,275.60_{23},11.97 %,308.60,94.29s,275.60,98.33s,275.60
10.2,147.60,1331.52s,147.60,3.51s,147.60,2.17s,147.60,379.80_{2},5.58 %,401.00,3114.98s,379.80,0.00 %,379.80
10.3,83.60,124.88s,83.60,3.33s,83.60,11.39s,83.60,336.80_{3},30.79 %,440.50,29.42 %,435.90,28.83 %,433.90
15.1,321.02_{1},60.61 %,515.60,47.65 %,474.00,48.03 %,475.20,369.20_{2},60.29 %,591.80,39.87 %,516.40,39.76 %,516.00
15.2,159.00_{23},5.16 %,167.20,79.92s,159.00,77.15s,159.00,397.20_{2},59.47 %,633.40,56.62 %,622.10,56.32 %,620.90
15.3,167.18,2573.87s,167.20,108.39s,167.20,16.96s,167.20,393.20_{2},76.45 %,693.80,72.63 %,678.80,73.45 %,682.00
20.1,227.40_{2},68.69 %,383.60,15.92 %,263.60,15.92 %,263.60,418.80_{3},73.02 %,724.60,59.41 %,667.60,60.65 %,672.80
20.2,239.20_{3},20.61 %,288.50,12.50 %,269.10,12.50 %,269.10,381.00_{3},129.48 %,874.30,118.22 %,831.40,115.93 %,822.70
20.3,159.20_{23},0.00 %,159.20,171.76s,159.20,2615.79s,159.20,455.40_{3},103.47 %,926.60,102.42 %,921.80,102.85 %,923.80
25.1,230.20_{2},123.28 %,514.00,49.70 %,344.60,49.70 %,344.60,401.60_{2},127.29 %,912.80,102.44 %,813.00,98.06 %,795.40
25.2,257.50_{2},16.62 %,300.30,11.22 %,286.40,11.22 %,286.40,490.70_{3},115.90 %,1059.40,106.81 %,1014.80,110.45 %,1032.70
25.3,157.66_{1},7.07 %,168.80,6.05 %,167.20,6.05 %,167.20,535.00_{2},119.74 %,1175.60,115.66 %,1153.80,116.37 %,1157.60
30.1,201.92_{1},145.40 %,495.50,107.12 %,418.20,105.43 %,414.80,526.30_{2},116.02 %,1136.90,107.92 %,1094.30,100.70 %,1056.30
30.2,251.60_{2},65.26 %,415.80,49.44 %,376.00,49.44 %,376.00,627.40_{3},114.95 %,1348.60,105.16 %,1287.20,106.53 %,1295.80
30.3,192.80_{2},13.49 %,218.80,11.93 %,215.80,12.24 %,216.40,165.40_{3},371.95 %,780.60,278.72 %,626.40,358.04 %,757.60
35.1,255.00_{2},97.25 %,503.00,78.12 %,454.20,76.98 %,451.30,598.57_{1},135.51 %,1409.70,112.56 %,1272.30,109.47 %,1253.80
35.2,294.60_{1},52.75 %,450.00,45.62 %,429.00,39.85 %,412.00,713.60_{3},125.53 %,1609.40,109.30 %,1493.60,109.95 %,1498.20
35.3,220.82_{1},26.25 %,278.80,23.63 %,273.00,23.90 %,273.60,402.00_{2},125.02 %,904.60,73.58 %,697.80,75.07 %,703.80
40.1,345.00_{2},208.75 %,1065.20,92.64 %,664.60,96.99 %,679.60,770.09_{1},112.65 %,1637.60,98.63 %,1529.60,97.46 %,1520.60
40.2,412.80_{2},66.62 %,687.80,54.99 %,639.80,58.14 %,652.80,196.60_{3},445.37 %,1072.20,235.71 %,660.00,274.77 %,736.80
40.3,232.87_{1},36.77 %,318.50,31.06 %,305.20,31.58 %,306.40,316.90_{3},318.52 %,1326.30,333.04 %,1372.30,330.48 %,1364.20
45.1,364.58_{1},139.73 %,874.00,114.06 %,780.40,105.17 %,748.00,212.02_{1},388.06 %,1034.80,189.87 %,614.60,320.42 %,891.40
45.2,419.17_{1},77.40 %,743.60,69.67 %,711.20,67.33 %,701.40,345.10_{3},341.23 %,1522.70,234.66 %,1154.90,213.21 %,1080.90
