Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,176.00,4.66s,176.00,2.71s,176.00,1.10s,176.00,192.25,4.79s,192.25,10.99s,192.25,112.41s,192.25
100.2,1159.80_{1},89.29 %,2195.40,80.81 %,2097.00,79.91 %,2086.60,1130.80_{2},--,--,221.61 %,3636.80,254.16 %,4004.80
100.3,489.86_{1},89.14 %,926.50,64.95 %,808.00,63.31 %,800.00,2398.50_{2},126.18 %,5425.00,97.54 %,4738.00,98.21 %,4754.00
200.1,2465.09_{1},129.09 %,5647.38,120.88 %,5445.00,311.51 %,10144.00,1533.40_{2},--,--,369.87 %,7205.00,593.43 %,10633.00
200.2,1692.33_{1},138.95 %,4043.80,143.63 %,4123.00,494.92 %,10068.00,1182.11_{2},--,--,670.47 %,9107.77,748.06 %,10024.99
200.3,633.29_{1},131.56 %,1466.44,133.81 %,1480.67,1437.69 %,9737.99,951.60_{3},--,--,949.81 %,9990.00,967.15 %,10155.00
300.1,5.44_{3},--,--,--,--,316553.06 %,17239.98,6.38_{3},--,--,--,--,268621.57 %,17131.00
300.2,21.50_{23},--,--,28718.60 %,6196.00,27146.51 %,5858.00,6.38_{3},--,--,--,--,272464.71 %,17376.00
300.3,3.60_{23},--,--,60450.00 %,2179.80,475677.78 %,17128.00,1529.65_{12},244.24 %,5265.66,--,--,1044.84 %,17511.98
400.1,25.00_{2},--,--,39520.00 %,9905.00,81852.00 %,20488.00,6.38_{3},--,--,--,--,222115.69 %,14166.25
400.2,36.65_{1},19989.78 %,7363.33,19867.31 %,7318.44,20389.94 %,7509.99,--,--,--,--,--,--,20451.00
400.3,2.25_{23},--,--,119527.78 %,2691.62,125588.89 %,2828.00,--,--,--,--,--,--,19934.00
500.1,--,--,--,--,--,--,25070.00,--,--,--,--,--,--,25082.00
500.2,--,--,--,--,--,--,25103.00,--,--,--,--,--,--,24720.60
500.3,--,--,--,--,--,--,24288.75,--,--,--,--,--,--,25152.97
600.1,--,--,--,--,--,--,30575.00,--,--,--,--,--,--,30890.00
600.2,--,--,--,--,--,--,30109.00,--,--,--,--,--,--,30318.00
600.3,--,--,--,--,--,--,30848.97,--,--,--,--,--,--,30064.00
700.1,--,--,--,--,--,--,36057.00,--,--,--,--,--,--,35735.96
700.2,--,--,--,--,--,--,35377.00,--,--,--,--,--,--,36187.96
700.3,--,--,--,--,--,--,35923.00,--,--,--,--,--,--,35228.96
