 201181 138351     cutoff   73       184.70000  162.46353  12.0%  35.2  425s
 204562 140632     cutoff   68       184.70000  162.50648  12.0%  35.2  430s
 207532 142666  172.04103   76   13  184.70000  162.53846  12.0%  35.1  435s
 210905 144859  177.41875   68   21  184.70000  162.57400  12.0%  35.1  440s
 214139 147029     cutoff   69       184.70000  162.61118  12.0%  35.0  445s
 217423 149221  171.77083   60   11  184.70000  162.65391  11.9%  35.0  450s
 220527 151267  168.43736   51   22  184.70000  162.69097  11.9%  34.9  455s
 223750 153430  175.58565   56   15  184.70000  162.72708  11.9%  34.9  460s
 226791 155521  167.10738   57   18  184.70000  162.75777  11.9%  34.9  465s
 229962 157643  182.15054   82   13  184.70000  162.79375  11.9%  34.8  470s
 233024 159729  171.86487   51   16  184.70000  162.82607  11.8%  34.8  475s
 236097 161749  171.79417   58   13  184.70000  162.85758  11.8%  34.8  480s
 239486 164052  174.66146   60   16  184.70000  162.89216  11.8%  34.7  485s
 242515 166075  181.23000   57   10  184.70000  162.93274  11.8%  34.7  490s
 245801 168181  172.05149   55   19  184.70000  162.97083  11.8%  34.7  495s
 248878 170224  173.83981   69   10  184.70000  163.00435  11.7%  34.6  500s
 251986 172374  171.78045   61   19  184.70000  163.03607  11.7%  34.6  505s
 255321 174623  171.86250   64   11  184.70000  163.06670  11.7%  34.6  510s
 258419 176629  177.86250   66    7  184.70000  163.09857  11.7%  34.6  515s
 261637 178749  164.81859   55   17  184.70000  163.12475  11.7%  34.5  520s
 264598 180692  180.17007   62   16  184.70000  163.16090  11.7%  34.5  525s
 267820 182840  173.51480   59   16  184.70000  163.18820  11.6%  34.5  530s
 270923 184818  178.59167   50   16  184.70000  163.21009  11.6%  34.5  535s
 274224 186993  175.20985   62   15  184.70000  163.23908  11.6%  34.4  540s
 277328 189065  173.55000   64   10  184.70000  163.26680  11.6%  34.4  545s
 280687 191203  178.82200   61   18  184.70000  163.29688  11.6%  34.4  550s
 283598 193136  176.55208   55   14  184.70000  163.32181  11.6%  34.4  555s
 286943 195280  179.76389   56   21  184.70000  163.35305  11.6%  34.3  560s
 290057 197296  179.32290   66   14  184.70000  163.38071  11.5%  34.3  565s
 293041 199204  179.19271   62   12  184.70000  163.40804  11.5%  34.3  570s
 296316 201363  174.74205   49   20  184.70000  163.43333  11.5%  34.3  575s
 299635 203529  164.53286   53   13  184.70000  163.46391  11.5%  34.2  580s
 302757 205570  174.15005   60   18  184.70000  163.49167  11.5%  34.2  585s
 305951 207689  171.14015   63   15  184.70000  163.51447  11.5%  34.2  590s
 309146 209786  164.46913   56   14  184.70000  163.54167  11.5%  34.2  595s
 312252 211820  169.10646   58   15  184.70000  163.56250  11.4%  34.1  600s
 315629 214059  169.71597   54   20  184.70000  163.58750  11.4%  34.1  605s
 318431 215866  171.35739   53   15  184.70000  163.61065  11.4%  34.1  610s
 321580 217822  173.28982   58   17  184.70000  163.64028  11.4%  34.1  615s
 324704 219807  168.57448   52   17  184.70000  163.66259  11.4%  34.1  620s
 327773 221752  167.44293   61   19  184.70000  163.68397  11.4%  34.1  625s
 330889 223752  168.41557   54   17  184.70000  163.70992  11.4%  34.0  630s
 333896 225647  173.65104   70   15  184.70000  163.73427  11.4%  34.0  635s
 336978 227555  171.80348   59   16  184.70000  163.75273  11.3%  34.0  640s
 339851 229426  178.42958   81   12  184.70000  163.77418  11.3%  34.0  645s
 343103 231457  182.00147   55   13  184.70000  163.79796  11.3%  34.0  650s
 346281 233499  175.54743   68   15  184.70000  163.82083  11.3%  34.0  655s
 349225 235378  165.90556   51   21  184.70000  163.84375  11.3%  34.0  660s
 352600 237477     cutoff   67       184.70000  163.86997  11.3%  33.9  665s
 355637 239408  167.36486   51   13  184.70000  163.89187  11.3%  33.9  670s
 358812 241432  172.24063   66   17  184.70000  163.91449  11.3%  33.9  675s
 362096 243406  178.92361   71   11  184.70000  163.94081  11.2%  33.9  680s
 365188 245401  166.42612   48   15  184.70000  163.96429  11.2%  33.9  685s
 368325 247381  183.78728   95   15  184.70000  163.98854  11.2%  33.9  690s
 371541 249413  167.35417   71    9  184.70000  164.01156  11.2%  33.9  695s
 374642 251422  177.00459   72   18  184.70000  164.03363  11.2%  33.8  700s
 377927 253532  178.45192   67   17  184.70000  164.05518  11.2%  33.8  705s
 381041 255559     cutoff   72       184.70000  164.07512  11.2%  33.8  710s
 384135 257474  177.02491   72   15  184.70000  164.09977  11.2%  33.8  715s
 387207 259401  174.87308   80   15  184.70000  164.12083  11.1%  33.8  720s
 390368 261376  176.63750   62   11  184.70000  164.14029  11.1%  33.8  725s
 393577 263396  168.54803   48   18  184.70000  164.15859  11.1%  33.7  730s
 396715 265260  175.77917   61    7  184.70000  164.17941  11.1%  33.7  735s
 399813 267212  168.07228   54   17  184.70000  164.19830  11.1%  33.7  740s
 403067 269219  167.01512   60   19  184.70000  164.22222  11.1%  33.7  745s
 406114 271120  180.03354   57   15  184.70000  164.24167  11.1%  33.7  750s
 409080 272972  177.07917   60   11  184.70000  164.26250  11.1%  33.7  755s
 412448 275084  176.01667   62   14  184.70000  164.28023  11.1%  33.7  760s
 415663 277145  166.65729   62   16  184.70000  164.29657  11.0%  33.6  765s
 418904 279196  178.79287   73   12  184.70000  164.32040  11.0%  33.6  770s
 422090 281172  172.60179   56   20  184.70000  164.33936  11.0%  33.6  775s
 425052 283002  179.88026   54   16  184.70000  164.35833  11.0%  33.6  780s
 428320 284959  174.02406   63   14  184.70000  164.37829  11.0%  33.6  785s
 431536 286921  176.21250   55   11  184.70000  164.39627  11.0%  33.6  790s
 434508 288712  170.32265   55   17  184.70000  164.41091  11.0%  33.6  795s
 437919 290779  170.11848   53   18  184.70000  164.43125  11.0%  33.5  800s
 441275 292875  173.62917   78   14  184.70000  164.45336  11.0%  33.5  805s
 444435 294685  169.45708   52   20  184.70000  164.47266  11.0%  33.5  810s
 447599 296651  177.32188   70   13  184.70000  164.49299  10.9%  33.5  815s
 450662 298438  182.38333   71   17  184.70000  164.51210  10.9%  33.5  820s
 453992 300504  178.78504   60   12  184.70000  164.53344  10.9%  33.5  825s
 457208 302440     cutoff   60       184.70000  164.54795  10.9%  33.5  830s
 460184 304209  171.58322   67   18  184.70000  164.56260  10.9%  33.4  835s
 463643 306312  178.35779   60   18  184.70000  164.57970  10.9%  33.4  840s
 466815 308220  170.54941   50   20  184.70000  164.59762  10.9%  33.4  845s
 469860 310090     cutoff   86       184.70000  164.61451  10.9%  33.4  850s
 473213 312171  173.50521   56   16  184.70000  164.63125  10.9%  33.4  855s
 476277 314018  172.20226   62   17  184.70000  164.64583  10.9%  33.4  860s
