Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Best LB,GS,,FER1,,FER2,
,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z,,t(s)/gap(\%),z,t(s)/gap(\%),z,t(s)/gap(\%),z
5.1,121.30,1.75s,121.30,0.09s,121.30,0.13s,121.30,189.40,4.61s,189.40,0.16s,189.40,0.12s,189.40
100.3,163.01_{1},118.33 %,355.90,85.26 %,302.00,90.72 %,310.90,1908.80_{2},180.55 %,5355.20,147.18 %,4718.20,147.61 %,4726.40
200.1,507.40_{2},750.10 %,4313.40,344.34 %,2254.60,1985.14 %,10580.00,2666.40_{2},--,--,145.16 %,6537.00,144.54 %,6520.40
200.2,745.80_{2},--,--,150.50 %,1868.20,1250.23 %,10070.00,1231.30_{2},510.70 %,7519.60,485.98 %,7215.20,753.41 %,10508.00
200.3,507.00_{2},--,--,99.33 %,1010.60,107.79 %,1053.50,2840.20_{2},--,--,234.96 %,9513.40,235.72 %,9535.00
300.1,33.20_{3},--,--,--,--,52857.83 %,17582.00,633.00_{3},--,--,--,--,2652.76 %,17425.00
300.2,476.50_{2},--,--,359.22 %,2188.20,3523.29 %,17265.00,1320.40_{3},--,--,--,--,841.55 %,12432.20
300.3,18.10_{3},--,--,8370.72 %,1533.20,92706.63 %,16798.00,1036.20_{3},595.73 %,7209.20,--,--,1535.50 %,16947.00
400.1,--,--,--,--,--,--,20988.00,22.67_{12},43547.30 %,9895.20,--,--,91021.54 %,20658.00
400.2,7.80_{2},--,--,23333.33 %,1827.80,259066.67 %,20215.00,--,--,--,--,--,--,20195.00
400.3,11.40_{2},--,--,24129.82 %,2762.20,175321.05 %,19998.00,--,--,--,--,--,--,20045.00
500.1,--,--,--,--,--,--,24797.00,--,--,--,--,--,--,24833.60
500.2,--,--,--,--,--,--,24543.00,--,--,--,--,--,--,24685.20
500.3,--,--,--,--,--,--,24150.60,--,--,--,--,--,--,24748.80
600.1,--,--,--,--,--,--,30949.00,--,--,--,--,--,--,31096.00
600.2,--,--,--,--,--,--,30972.00,--,--,--,--,--,--,31256.00
600.3,--,--,--,--,--,--,29438.00,--,--,--,--,--,--,30596.00
700.1,--,--,--,--,--,--,36152.00,--,--,--,--,--,--,35871.00
700.2,--,--,--,--,--,--,35912.00,--,--,--,--,--,--,35411.00
700.3,--,--,--,--,--,--,--,--,--,--,--,--,--,35954.00
