Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
40.1,4.2E+05,88.72 %,1085.34,1.7E+05,94.62 %,1096.34,2.2E+05,94.49 %,1098.17,3.0E+05,87.41 %,1221.00,1.1E+05,100.00 %,1185.00,2.3E+05,94.76 %,1154.00
40.2,3.0E+05,96.07 %,931.75,1.3E+05,97.80 %,864.75,2.9E+05,94.33 %,859.25,2.0E+05,90.88 %,886.50,1.4E+05,100.00 %,865.50,9.6E+04,93.83 %,867.00
40.3,3.2E+05,79.31 %,346.50,1.0E+05,100.00 %,311.50,1.2E+05,96.44 %,323.00,3.9E+05,71.43 %,366.67,9.9E+04,60.68 %,351.00,2.1E+05,85.95 %,349.83
45.1,2.6E+05,89.32 %,1243.00,9.8E+04,100.00 %,1237.00,1.2E+05,96.56 %,1271.50,2.0E+05,100.00 %,1472.00,1.0E+05,100.00 %,1537.00,1.2E+05,97.67 %,1545.75
45.2,4.2E+05,100.00 %,947.00,1.1E+05,100.00 %,958.00,1.2E+05,97.02 %,923.50,1.3E+05,100.00 %,1023.00,1.2E+05,94.38 %,907.00,6.4E+04,85.57 %,925.00
45.3,3.1E+05,73.89 %,398.00,1.1E+05,95.28 %,391.83,1.5E+05,94.58 %,396.33,2.6E+05,54.29 %,403.17,7.9E+04,86.22 %,406.33,1.9E+05,92.79 %,400.00
50.1,1.2E+05,100.00 %,1443.50,9.7E+04,100.00 %,1257.50,1.0E+05,97.99 %,1271.00,2.6E+05,100.00 %,1321.50,7.7E+04,100.00 %,1406.50,1.2E+05,98.49 %,1357.00
50.2,2.2E+05,89.29 %,1033.34,6.3E+04,97.72 %,1045.34,8.7E+04,95.69 %,1021.34,1.5E+05,79.93 %,1102.34,4.2E+04,100.00 %,1089.67,1.1E+05,88.89 %,1087.17
50.3,1.8E+05,96.12 %,451.75,7.0E+04,95.97 %,440.00,5.9E+04,97.06 %,442.75,1.8E+05,84.56 %,459.50,5.1E+04,100.00 %,456.50,5.3E+04,97.50 %,449.25
100.1,3.1E+04,100.00 %,3072.50,1.1E+04,100.00 %,3049.00,5.7E+03,99.45 %,3426.50,8.9E+03,99.93 %,4683.68,5.8E+03,97.10 %,2885.67,6.7E+03,99.72 %,4400.84
100.2,4.2E+03,100.00 %,3649.17,5.2E+03,100.00 %,2093.34,5.7E+03,99.75 %,2489.00,9.0E+03,100.00 %,4820.75,6.3E+03,100.00 %,2582.00,6.9E+03,99.85 %,3744.25
100.3,9.4E+03,100.00 %,4099.50,4.4E+03,100.00 %,872.00,6.0E+03,99.39 %,818.50,3.3E+04,100.00 %,967.50,4.8E+03,100.00 %,959.00,5.9E+03,99.03 %,931.50
200.1,2.1E+02,100.00 %,9522.52,—,96.60 %,5287.34,6.4E+03,99.96 %,7064.68,1.7E+02,—,—,—,94.57 %,7534.35,1.1E+04,100.00 %,8614.02
200.2,2.7E+03,100.00 %,8390.50,7.1E+03,100.00 %,4340.00,1.2E+04,100.00 %,4338.00,2.2E+03,100.00 %,9422.00,—,99.22 %,9525.25,1.5E+04,100.00 %,4538.00
200.3,5.8E+02,100.00 %,10052.20,6.7E+02,100.00 %,1833.00,6.8E+03,100.00 %,1544.00,1.4E+02,99.97 %,10460.40,—,98.92 %,9784.69,1.5E+04,99.97 %,1935.84
300.1,1.5E+02,100.00 %,12773.00,—,—,—,4.0E+00,100.00 %,11740.00,1.1E+02,100.00 %,13542.50,—,—,—,4.0E+00,100.00 %,13067.00
300.2,8.0E+00,100.00 %,9163.00,—,—,—,3.0E+00,100.00 %,11934.00,6.2E+02,100.00 %,14338.80,—,—,—,4.0E+00,100.00 %,10025.00
300.3,1.9E+02,100.00 %,10719.50,1.6E+01,100.00 %,2639.50,3.0E+00,100.00 %,7718.00,8.2E+01,100.00 %,19227.50,—,—,—,4.0E+00,100.00 %,6844.00
400.1,—,100.00 %,17850.50,—,—,—,—,100.00 %,14759.00,2.0E+00,100.00 %,19660.20,—,—,—,—,100.00 %,17580.40
400.2,4.6E+01,100.00 %,14766.50,—,—,—,—,100.00 %,14328.80,—,—,—,—,—,—,—,100.00 %,19094.00
400.3,9.3E+01,100.00 %,15498.50,—,100.00 %,4400.00,—,100.00 %,9739.00,—,—,—,—,—,—,3.0E+00,100.00 %,18515.00
500.1,—,100.00 %,21964.50,—,—,—,—,100.00 %,21425.70,—,—,—,—,—,—,—,100.00 %,20076.00
500.2,—,100.00 %,25716.20,—,—,—,—,100.00 %,16171.20,—,—,—,—,—,—,—,100.00 %,23757.80
500.3,—,100.00 %,16485.00,—,—,—,—,100.00 %,17803.00,—,—,—,—,—,—,—,100.00 %,7448.00
600.1,—,100.00 %,26466.60,—,—,—,—,100.00 %,23912.00,—,—,—,—,—,—,—,100.00 %,27431.00
600.2,—,100.00 %,25146.50,—,—,—,—,100.00 %,18379.00,—,—,—,—,—,—,—,100.00 %,21245.00
600.3,—,—,—,—,—,—,—,100.00 %,9822.02,—,—,—,—,—,—,—,100.00 %,13645.00
700.1,—,—,—,—,—,—,—,100.00 %,36152.00,—,—,—,—,—,—,—,—,—
700.2,—,100.00 %,29771.70,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
700.3,—,100.00 %,28429.20,—,—,—,—,100.00 %,34334.00,—,—,—,—,—,—,—,—,—
