Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
40.1,9.1E+04,43.11 %,1352.89,4.6E+04,75.41 %,1222.00,5.0E+04,78.44 %,1222.33,6.7E+04,42.92 %,1510.22,4.2E+04,77.71 %,1525.67,4.3E+04,82.39 %,1458.78
40.2,1.2E+05,43.47 %,996.00,4.1E+04,68.73 %,903.50,6.3E+04,68.79 %,902.75,1.1E+05,44.19 %,1329.88,3.8E+04,68.21 %,1279.12,3.4E+04,70.71 %,1260.00
40.3,9.1E+04,29.00 %,396.50,5.3E+04,22.60 %,385.00,7.7E+04,21.09 %,384.00,9.6E+04,54.16 %,1053.00,7.7E+04,40.73 %,1040.00,3.0E+04,46.67 %,1044.80
45.1,5.7E+04,40.63 %,1379.38,3.5E+04,74.16 %,1348.38,5.7E+04,74.78 %,1352.25,5.3E+04,44.52 %,1717.44,3.9E+04,77.69 %,1644.55,4.7E+04,84.64 %,1606.22
45.2,6.4E+04,41.67 %,1076.60,5.8E+04,44.40 %,1014.80,6.7E+04,49.48 %,1014.60,6.3E+04,45.67 %,1502.38,6.4E+04,67.86 %,1414.88,3.8E+04,73.66 %,1411.25
45.3,7.4E+04,33.62 %,407.50,3.8E+04,26.30 %,395.50,3.7E+04,26.73 %,396.50,5.9E+04,54.48 %,1195.00,1.0E+05,45.30 %,1188.20,1.0E+05,43.93 %,1187.40
50.1,3.9E+04,51.97 %,1909.40,2.5E+04,62.52 %,1537.00,5.0E+04,57.37 %,1538.20,4.2E+04,45.48 %,1907.88,2.8E+04,77.78 %,1860.25,2.3E+04,80.41 %,1796.75
50.2,5.0E+04,42.77 %,1161.50,4.8E+04,34.80 %,1092.00,2.1E+04,35.82 %,1104.00,3.9E+04,51.95 %,1909.40,2.0E+04,62.65 %,1872.20,1.4E+04,66.14 %,1851.40
50.3,4.8E+04,30.41 %,427.44,4.6E+04,71.31 %,412.78,4.0E+04,72.26 %,411.33,3.8E+04,75.94 %,2449.50,2.3E+03,47.54 %,2362.00,1.1E+04,47.66 %,2363.50
100.1,5.5E+03,48.56 %,3168.38,5.1E+03,86.65 %,2930.25,2.3E+03,93.19 %,2976.88,5.8E+03,—,—,4.6E+03,86.81 %,3591.25,5.2E+03,93.34 %,3575.50
100.2,5.7E+03,47.17 %,2195.40,4.7E+03,79.07 %,2097.00,3.7E+03,88.66 %,2086.60,6.2E+03,—,—,5.1E+03,68.91 %,3636.80,5.9E+03,82.46 %,4004.80
100.3,6.2E+03,47.13 %,926.50,3.5E+03,41.52 %,808.00,2.9E+03,44.19 %,800.00,5.4E+03,81.44 %,5425.00,5.8E+03,49.38 %,4738.00,1.6E+03,74.80 %,4754.00
200.1,2.2E+02,56.35 %,5647.38,—,88.85 %,5445.00,—,96.69 %,10144.00,9.4E+02,—,—,—,78.72 %,7205.00,—,93.57 %,10633.00
200.2,2.4E+02,58.15 %,4043.80,—,86.57 %,4123.00,—,96.23 %,10068.00,1.4E+03,—,—,—,87.02 %,9107.77,—,95.39 %,10025.00
200.3,6.7E+01,56.81 %,1466.44,—,94.29 %,1480.67,—,99.20 %,9737.99,1.9E+03,—,—,—,99.90 %,9990.00,—,90.63 %,10155.00
300.1,—,—,—,—,—,—,—,99.97 %,17240.00,—,—,—,—,—,—,—,99.96 %,17131.00
300.2,—,—,—,—,99.65 %,6196.00,—,99.63 %,5858.00,—,—,—,—,—,—,—,99.96 %,17376.00
300.3,—,—,—,—,99.83 %,2179.80,—,99.98 %,17128.00,—,70.95 %,5265.66,—,—,—,—,99.97 %,17512.00
400.1,—,—,—,—,99.75 %,9905.00,—,—,20488.00,—,—,—,—,—,—,—,99.96 %,14166.20
400.2,—,99.50 %,7363.33,—,99.94 %,7318.44,—,99.94 %,7509.99,—,—,—,—,—,—,—,—,20451.00
400.3,—,—,—,—,99.92 %,2691.62,—,99.92 %,2828.00,—,—,—,—,—,—,—,—,19934.00
500.1,—,—,—,—,—,—,—,—,25070.00,—,—,—,—,—,—,—,—,25082.00
500.2,—,—,—,—,—,—,—,—,25103.00,—,—,—,—,—,—,—,—,24720.60
500.3,—,—,—,—,—,—,—,—,24288.80,—,—,—,—,—,—,—,—,25153.00
600.1,—,—,—,—,—,—,—,—,30575.00,—,—,—,—,—,—,—,—,30890.00
600.2,—,—,—,—,—,—,—,—,30109.00,—,—,—,—,—,—,—,—,30318.00
600.3,—,—,—,—,—,—,—,—,30849.00,—,—,—,—,—,—,—,—,30064.00
700.1,—,—,—,—,—,—,—,—,36057.00,—,—,—,—,—,—,—,—,35736.00
700.2,—,—,—,—,—,—,—,—,35377.00,—,—,—,—,—,—,—,—,36188.00
700.3,—,—,—,—,—,—,—,—,35923.00,—,—,—,—,—,—,—,—,35229.00
