Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
40.1,8.4E+04,68.37 %,1065.20,1.0E+04,48.09 %,664.60,3.6E+04,52.50 %,679.60,7.0E+04,52.97 %,1637.60,1.0E+04,52.69 %,1529.60,1.2E+05,53.76 %,1520.60
40.2,8.1E+04,44.79 %,687.80,1.3E+04,35.48 %,639.80,2.0E+04,42.62 %,652.80,7.9E+04,84.66 %,1072.20,3.6E+04,71.09 %,660.00,9.5E+03,73.32 %,736.80
40.3,5.7E+04,26.89 %,318.50,7.1E+04,38.76 %,305.20,1.1E+05,33.98 %,306.40,6.2E+04,87.98 %,1326.30,1.0E+05,78.93 %,1372.30,1.3E+04,76.77 %,1364.20
45.1,4.4E+04,58.29 %,874.00,3.6E+04,59.74 %,780.40,1.2E+04,53.10 %,748.00,4.8E+04,79.51 %,1034.80,8.3E+03,67.30 %,614.60,9.7E+03,77.02 %,891.40
45.2,5.3E+04,43.63 %,743.60,3.5E+04,49.55 %,711.20,2.9E+04,43.37 %,701.40,4.9E+04,82.06 %,1522.70,7.0E+03,71.45 %,1154.90,2.0E+04,68.07 %,1080.90
45.3,5.3E+04,31.05 %,348.20,4.6E+04,36.09 %,333.60,4.1E+04,31.94 %,333.80,5.3E+04,87.15 %,1869.00,5.2E+04,74.10 %,1711.00,2.0E+04,74.81 %,1889.80
50.1,4.1E+04,52.46 %,1288.40,2.6E+04,55.52 %,1200.60,1.4E+04,51.53 %,1186.40,3.9E+04,80.54 %,1187.40,2.5E+04,78.86 %,952.60,1.1E+04,65.06 %,669.80
50.2,3.9E+04,42.67 %,897.60,3.3E+04,45.53 %,842.10,2.5E+04,40.88 %,835.90,4.4E+04,81.73 %,1678.40,9.5E+03,69.70 %,1192.90,1.0E+04,77.71 %,1705.40
50.3,4.5E+04,29.60 %,374.00,2.6E+04,31.05 %,362.00,2.7E+04,29.47 %,357.60,4.4E+04,83.34 %,2372.80,1.2E+04,65.87 %,2305.00,1.1E+04,66.13 %,2322.80
100.1,5.5E+03,—,—,1.6E+03,55.00 %,2521.70,3.6E+03,59.72 %,2725.00,5.7E+03,59.72 %,—,3.2E+03,75.23 %,2322.20,5.3E+03,72.78 %,2240.00
