67,0,156.5,0.02
431,0,195.5,0.06
159,0,181,0.04
736,0,207.5,0.17
18038,0.0016,273.5,7.76
8914,0,242.333,3.45
151132,0.0099,316.75,122.28
4.4761e+06,0.01,393.5,7214.88
3.26222e+06,0.0099,357.333,3829.09
7.83716e+06,7.9156,412.25,10800
3.59605e+06,21.8707,459,10800
4.45009e+06,19.1785,422,10800
3.36136e+06,20.0159,515.75,10800
2.19078e+06,33.2116,586,10800
2.59278e+06,30.4199,554.333,10800
2.64422e+06,19.2944,521.75,10800
1.72312e+06,35.4891,664.5,10800
2.17221e+06,31.0799,623.999,10800
1.2819e+06,26.278,632,10800
1.5821e+06,37.9215,794.666,10800
1.82881e+06,25.5111,612,10800
1.27338e+06,26.877,677.5,10800
1.13386e+06,38.5162,842.332,10800
1.45661e+06,30.56,650,10800
1.09293e+06,29.2651,782,10800
839376,38.914,963.999,10800
1.05837e+06,30.3307,744.75,10800
620087,29.3222,792,10800
578396,40.0926,1041.67,10800
775806,31.5811,798.75,10800
502543,31.9197,935,10800
532996,39.9261,1118.67,10800
610623,33.9758,918,10800
492548,31.71,977,10800
412851,42.207,1262.67,10800
449065,34.8612,988,10800
336207,33.4268,1022,10800
387377,36.0054,1202.75,10800
583860,48.1509,1604.5,10800
