Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
5.1,3.7E+03,1.75s ,121.30,1.4E+02,0.09s ,121.30,9.4E+02,0.13s ,121.30,1.2E+04,4.61s ,189.40,8.0E+02,0.16s ,189.40,7.6E+02,0.12s ,189.40
5.2,4.5E+03,2.05s ,102.40,2.3E+02,0.07s ,102.40,8.4E+02,0.09s ,102.40,1.3E+04,7.4s ,193.00,1.9E+02,0.09s ,193.00,4.9E+02,0.09s ,193.00
5.3,5.5E+03,1.87s ,117.20,2.6E+02,0.12s ,117.20,6.0E+02,0.07s ,117.20,6.6E+03,3.44s ,111.40,9.3E+02,0.16s ,111.40,7.7E+02,0.14s ,111.40
7.1,9.2E+03,6.78s ,139.40,1.2E+03,1.09s ,139.40,1.1E+04,5.58s ,139.40,9.4E+04,100.78s ,248.70,5.0E+03,8.56s ,248.70,2.6E+04,8.32s ,248.70
7.2,1.7E+04,20.49s ,143.00,6.9E+02,0.42s ,143.00,1.3E+03,0.8s ,143.00,8.4E+05,1406.47s ,279.00,1.8E+04,8.30s ,279.00,1.8E+04,9.88s ,279.00
7.3,1.1E+04,17.91s ,116.80,9.6E+02,0.28s ,116.80,8.9E+02,0.18s ,116.80,1.4E+04,18.81s ,173.80,1.2E+03,3.63s ,173.80,1.6E+03,1.36s ,173.80
10.1,1.6E+05,227.55s ,221.10,5.2E+03,16.84s ,221.10,7.1E+03,13.04s ,221.10,1.5E+06,19.82 %,347.70,1.0E+06,481.87s ,338.60,9.7E+05,1284.45s ,338.60
10.2,3.3E+04,63.73s ,217.80,2.2E+03,11.87s ,217.80,1.6E+03,2.59s ,217.80,1.5E+06,28.94 %,408.40,1.1E+07,16.70 %,398.80,7.8E+06,10.13 %,398.80
