Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.84,2.56,1.25,0.56,2.63,5.3135E+05,1.70,2.54,2.09,0.35,8.59,5.3419E+05
30.2,0.07,0.22,0.03,0.31,0.00,5.3299E+05,0.12,0.33,0.04,0.45,0.01,5.3498E+05
30.3,0.02,0.04,0.00,0.04,0.00,5.3533E+05,0.01,0.04,0.00,0.03,0.00,5.3322E+05
35.1,0.29,0.83,0.13,0.86,0.03,5.3422E+05,1.71,3.09,2.63,0.44,10.42,5.3570E+05
35.2,0.21,0.40,0.06,0.46,0.00,5.3374E+05,0.23,0.60,0.10,0.55,0.01,5.3655E+05
35.3,0.07,0.18,0.01,0.08,0.00,5.3351E+05,0.01,0.02,0.00,0.05,0.00,5.3178E+05
40.1,0.27,1.02,0.19,1.07,0.03,5.3374E+05,0.60,1.59,0.39,1.82,0.16,5.3175E+05
40.2,0.27,0.93,0.16,0.55,0.04,5.3366E+05,0.31,1.16,0.23,0.84,0.04,5.3438E+05
40.3,0.23,0.53,0.15,0.07,0.01,5.3344E+05,0.05,0.15,0.03,0.10,0.00,5.3429E+05
45.1,0.51,1.54,0.32,1.40,0.07,5.3425E+05,0.54,1.67,0.60,1.77,0.12,5.3586E+05
45.2,0.57,1.74,0.43,0.49,0.10,5.3357E+05,0.36,1.40,0.37,0.73,0.02,5.3484E+05
45.3,0.19,0.44,0.05,0.11,0.01,5.3347E+05,0.08,0.27,0.05,0.04,0.00,5.3576E+05
50.1,1.21,4.28,1.16,1.72,1.25,5.3519E+05,0.87,3.10,0.84,1.87,0.38,5.3521E+05
50.2,0.77,2.57,0.95,0.58,1.28,5.3299E+05,0.60,2.26,0.81,0.70,0.32,5.3708E+05
50.3,0.02,0.05,0.00,0.12,0.00,5.3445E+05,1.63,0.56,0.52,0.04,6.58,5.3179E+05
100.1,1.35,5.87,1.25,3.53,0.09,5.3198E+05,1.73,7.76,2.02,4.11,0.34,5.3335E+05
100.2,1.09,4.74,1.21,2.14,0.15,5.3462E+05,0.95,5.05,1.54,2.24,0.21,5.3567E+05
