Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
600.2,30109.00,—,11.13,26.95,6469.10,-78.51,23.33,26.77,6387.80,-78.78,30318.00,—,24.69,26.01,12417.90,-59.04,25.87,27.25,12368.20,-59.21
600.3,30849.00,—,22.12,26.65,793.10,-97.43,24.17,26.65,746.50,-97.58,30064.00,—,24.95,26.49,28451.90,-5.36,17.85,28.04,28521.00,-5.13
700.1,—,—,29.36,31.52,4457.90,—,31.59,35.73,4187.00,—,—,—,29.01,31.05,22013.40,—,32.20,35.99,21932.20,—
700.2,35377.00,—,23.38,31.52,9339.20,-73.60,31.61,35.34,9291.90,-73.73,36188.00,—,29.82,30.62,29389.50,-18.79,31.91,36.34,28328.70,-21.72
700.3,—,—,14.38,32.58,3198.20,—,29.25,35.06,3190.60,—,—,—,28.34,32.19,32679.60,—,25.44,36.60,32756.90,—
800.1,—,—,33.84,37.37,12560.00,—,40.81,45.38,12324.30,—,—,—,36.32,37.64,24744.80,—,42.06,46.09,24465.00,—
800.2,—,—,29.40,38.05,9486.20,—,41.05,45.16,9418.25,—,—,—,35.95,37.09,33788.50,—,40.31,46.04,32290.70,—
800.3,—,—,29.28,38.88,1858.20,—,40.20,44.89,1835.30,—,—,—,27.30,39.13,21633.20,—,41.30,45.74,21504.00,—
900.1,—,—,34.92,43.16,16918.70,—,50.02,54.16,16883.00,—,—,—,40.21,42.47,8910.00,—,51.62,55.07,8841.40,—
900.2,—,—,32.15,43.34,3448.80,—,50.80,54.52,3364.00,—,—,—,37.65,42.68,12298.40,—,51.17,54.90,12243.10,—
900.3,—,—,39.02,42.94,1120.50,—,51.13,53.97,1051.90,—,—,—,35.99,43.18,24407.20,—,52.64,54.64,24214.00,—
1000.1,—,—,46.54,47.95,5736.20,—,62.94,60.40,5743.50,—,—,—,44.31,48.54,27009.20,—,60.47,66.84,26011.00,—
1000.2,—,—,44.73,48.02,5444.45,—,62.15,60.32,5371.45,—,—,—,41.61,48.87,13528.90,—,62.84,66.66,13490.70,—
1000.3,—,—,32.12,50.73,4284.80,—,59.45,60.62,4266.00,—,—,—,45.34,49.47,47917.10,—,35.78,67.62,48001.00,—
