Instância,K-trimmed,,K-centrum,,Hurwicz,
,correlated,anticorrelated,correlated,anticorrelated,correlated,anticorrelated
30.1,0.0006,0.0647,0.0017,0.0010,0.0004,0.5964
30.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5704
30.3,0.0000,0.0000,0.5000,0.0026,0.0391,0.0002
35.1,0.0001,0.0000,0.0000,0.5762,0.1682,0.5353
35.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35.3,0.0000,0.0052,0.0000,0.0015,0.0200,0.0026
40.1,0.0000,0.0000,0.0000,0.0000,0.0003,0.0044
40.2,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000
40.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0036
45.1,0.0000,0.0000,0.0000,0.0000,0.1895,0.0005
45.2,0.0000,0.0868,0.0000,0.0000,0.0000,0.0000
45.3,0.0000,0.0769,0.0000,0.0000,0.0000,0.8390
50.1,0.0000,0.0030,0.0000,0.0000,0.0061,0.0002
50.2,0.0010,0.0000,0.0002,0.0000,0.0000,0.0007
50.3,0.0000,0.0000,0.1587,0.9855,0.0000,0.7588
100.1,0.7179,0.0007,0.0000,0.0000,0.0001,0.0000
100.2,0.0000,0.0000,0.0000,0.0006,0.0001,0.0481
100.3,0.0000,0.0000,0.0000,0.8262,0.0000,0.9939
200.1,0.0000,0.8355,0.0000,0.0881,0.0090,0.7701
200.2,0.9973,0.1485,0.0000,0.0000,0.0001,0.0007
200.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9962
300.1,0.1627,0.9786,0.9870,0.0105,0.1275,0.0015
300.2,0.4354,0.0323,0.0000,0.0004,0.0001,0.0000
300.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
400.1,0.0000,0.6078,0.0006,0.0000,0.0000,0.0801
400.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9906
500.1,0.0000,0.8409,0.0667,0.0025,0.0039,0.0005
500.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0312
500.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.1,0.0511,0.0000,0.0050,0.0027,0.0005,0.3837
600.2,0.0040,0.0000,0.0002,0.0000,0.0000,0.0036
600.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9999
700.1,0.0000,0.9059,0.0009,0.0000,0.0007,0.0056
700.2,0.0000,0.0049,0.0003,0.0000,0.0000,0.0000
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9970
800.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.2,0.0130,0.0088,0.0000,0.0000,0.0000,0.0000
800.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0000,0.0081,0.0000,0.0000,0.0008,0.0002
900.2,0.0000,0.0000,0.0006,0.0000,0.0017,0.0033
900.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000.1,0.0452,0.8726,0.0000,0.0000,0.4008,0.0000
1000.2,0.9440,0.0000,0.0000,0.0000,0.0002,0.0000
1000.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.6976
