Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,880.75,92.45 %,0.29,0.96,848.38,-3.68,0.37,0.41,832.88,-5.44,914.00,97.87 %,0.33,0.96,830.00,-9.19,0.33,0.41,826.00,-9.63
30.2,662.50,88.00 %,0.21,0.96,653.25,-1.40,0.29,0.41,646.00,-2.49,707.34,93.36 %,0.01,0.95,685.17,-3.13,0.19,0.40,682.50,-3.51
30.3,283.00,86.13 %,0.01,0.96,280.00,-1.06,0.16,0.41,279.75,-1.15,299.25,89.56 %,0.09,0.93,295.00,-1.42,0.17,0.39,294.25,-1.67
35.1,873.50,96.85 %,0.18,1.07,840.50,-3.78,0.24,0.49,836.50,-4.24,1056.00,96.50 %,0.30,1.06,1023.50,-3.08,0.30,0.47,1016.00,-3.79
35.2,760.00,86.84 %,0.22,1.07,740.17,-2.61,0.36,0.48,734.25,-3.39,842.84,84.24 %,0.10,1.07,815.17,-3.28,0.35,0.48,810.33,-3.86
35.3,339.00,92.85 %,0.08,1.09,337.50,-0.44,0.18,0.49,335.25,-1.11,306.25,92.73 %,0.02,1.06,306.00,-0.08,0.02,0.48,306.00,-0.08
40.1,1196.17,96.49 %,0.58,1.20,1130.92,-5.45,0.42,0.56,1115.17,-6.77,1295.84,94.29 %,0.16,1.22,1218.92,-5.94,0.46,0.56,1208.34,-6.75
40.2,855.25,94.88 %,0.02,1.20,837.50,-2.08,0.24,0.54,836.00,-2.25,831.50,97.53 %,0.60,1.20,841.25,1.17,0.38,0.55,837.25,0.69
40.3,363.00,81.68 %,0.09,1.20,354.50,-2.34,0.14,0.54,354.00,-2.48,330.00,92.12 %,0.03,1.22,329.00,-0.30,0.23,0.55,326.00,-1.21
45.1,1284.17,90.85 %,0.12,1.37,1244.17,-3.11,0.46,0.65,1229.75,-4.24,1410.00,92.98 %,0.23,1.36,1319.42,-6.42,0.57,0.65,1295.09,-8.15
