Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.43,2.54,0.97,0.84,0.40,5.3332E+05,0.63,1.09,0.67,0.91,4.30,5.3026E+05
30.2,0.26,0.73,0.21,0.34,0.04,5.3405E+05,3.42,2.82,2.84,0.16,10.00,5.3412E+05
30.3,0.03,0.13,0.01,0.10,0.00,5.3484E+05,0.08,0.84,0.13,1.30,0.14,5.3497E+05
35.1,0.44,2.05,1.11,0.86,0.70,5.3640E+05,0.78,1.25,0.66,0.98,5.95,5.3683E+05
35.2,0.39,1.34,0.22,0.26,0.04,5.3425E+05,3.66,3.14,2.60,0.43,10.85,5.3410E+05
35.3,0.07,0.14,0.02,0.15,0.00,5.3366E+05,0.11,1.07,0.16,1.35,0.19,5.3478E+05
40.1,0.81,3.23,1.36,0.94,1.02,5.3280E+05,1.40,2.06,0.96,1.14,8.66,5.3376E+05
40.2,0.67,1.66,0.56,0.55,0.38,5.3437E+05,0.30,2.53,0.78,3.17,0.36,5.3676E+05
40.3,0.16,0.40,0.10,0.04,0.00,5.3199E+05,0.08,0.93,0.44,1.66,0.16,5.3464E+05
45.1,0.77,3.14,0.88,0.79,1.15,5.3512E+05,0.46,4.22,1.72,2.66,0.64,5.3445E+05
45.2,0.81,1.76,0.55,0.43,0.21,5.3293E+05,0.25,2.79,1.01,2.78,0.37,5.3238E+05
45.3,0.17,0.43,0.05,0.11,0.00,5.3380E+05,0.07,0.78,0.28,1.76,0.07,5.3272E+05
50.1,1.28,3.47,1.12,1.34,2.11,5.3304E+05,0.46,4.21,1.87,3.11,0.78,5.3575E+05
50.2,0.62,2.02,0.67,0.59,0.79,5.3433E+05,0.29,3.10,1.37,3.35,0.46,5.3311E+05
50.3,0.15,0.43,0.05,0.26,0.01,5.3509E+05,3.50,3.48,2.99,0.34,9.29,5.3566E+05
100.1,2.47,7.00,2.55,2.34,5.91,5.3865E+05,0.93,9.48,4.32,4.16,1.78,5.3459E+05
100.2,2.01,5.93,2.03,1.14,2.19,5.3455E+05,2.79,4.97,3.09,3.21,11.77,5.3525E+05
100.3,0.12,0.79,0.06,0.28,0.00,5.3649E+05,16.86,14.50,13.57,0.64,37.44,5.3357E+05
200.1,4.48,22.34,8.26,10.52,7.67,5.3327E+05,12.31,25.43,10.99,10.05,42.74,5.3593E+05
200.2,1.80,7.53,2.05,2.41,0.37,5.3320E+05,0.94,11.39,5.95,10.98,0.49,5.3389E+05
200.3,0.90,2.62,0.55,0.63,0.05,5.3306E+05,17.26,16.63,13.92,1.37,36.89,5.3496E+05
300.1,6.80,34.75,12.81,15.80,7.86,5.3282E+05,2.76,34.72,15.67,10.32,3.16,5.3554E+05
300.2,3.13,14.73,3.83,4.19,0.72,5.3241E+05,50.59,45.40,34.18,7.37,101.69,5.3594E+05
300.3,1.92,6.05,1.53,1.53,0.13,5.3242E+05,0.19,4.55,1.99,11.59,0.01,5.3834E+05
400.1,7.93,44.81,16.80,21.21,9.54,5.3665E+05,2.64,40.45,19.08,12.19,1.99,5.3419E+05
400.2,6.45,29.09,11.98,10.54,1.98,5.3440E+05,68.52,57.88,46.30,17.24,129.41,5.3516E+05
400.3,1.25,5.47,1.11,1.74,0.02,5.3646E+05,82.51,68.17,60.56,2.67,138.99,5.3721E+05
500.1,7.06,46.10,16.45,21.89,4.98,5.3414E+05,36.83,100.35,44.70,31.26,73.43,5.3593E+05
500.2,6.08,30.80,12.11,11.85,1.48,5.3033E+05,1.63,21.17,11.72,23.50,0.27,5.3386E+05
500.3,2.26,9.90,3.18,2.80,0.11,5.3428E+05,0.35,7.53,3.34,15.89,0.02,5.3388E+05
600.1,2.62,49.33,12.51,11.40,1.57,5.3371E+05,23.00,95.90,47.61,39.46,38.58,5.3268E+05
600.2,6.82,38.43,13.28,16.45,1.23,5.3203E+05,1.36,32.55,14.42,38.09,0.40,5.3137E+05
600.3,0.81,5.89,0.85,1.68,0.01,5.3589E+05,125.16,106.11,99.36,4.64,198.85,5.3136E+05
700.1,1.98,41.61,15.67,9.57,0.64,5.3511E+05,56.53,130.03,73.66,49.72,95.50,5.3599E+05
700.2,9.77,56.97,21.27,23.82,2.94,5.3595E+05,80.87,74.47,55.82,28.03,133.48,5.3522E+05
700.3,3.14,16.59,4.89,6.87,0.13,5.3154E+05,66.63,68.27,62.55,5.77,110.20,5.3327E+05
800.1,11.24,76.05,27.17,30.56,4.93,5.3548E+05,67.46,169.94,92.18,55.81,103.29,5.3273E+05
800.2,10.78,57.71,23.07,23.06,2.08,5.3575E+05,93.26,90.55,66.58,46.37,136.25,5.3278E+05
800.3,2.21,11.24,2.39,3.77,0.03,5.3407E+05,0.62,12.66,5.00,24.29,0.02,5.3582E+05
900.1,18.54,111.38,46.54,54.10,9.71,5.3546E+05,4.48,68.30,37.68,19.53,0.84,5.3444E+05
900.2,2.97,34.86,8.97,6.90,0.18,5.3537E+05,1.98,37.53,18.27,42.68,0.26,5.3745E+05
900.3,1.15,8.20,1.15,2.16,0.01,5.3143E+05,0.55,13.03,5.45,27.43,0.02,5.3338E+05
1000.1,2.62,56.93,20.12,14.89,0.64,5.3326E+05,11.79,163.94,88.84,53.17,15.97,5.3610E+05
