Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10030 rows, 14880 columns and 173046 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 4996
Presolve removed 16 rows and 8 columns
Presolve time: 0.27s
Presolved: 10014 rows, 14872 columns, 98869 nonzeros
Variable types: 9900 continuous, 4972 integer (4970 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   14577    3.1149038e+01   6.212915e+02   0.000000e+00      5s
   29517    3.5000687e+01   1.592853e+00   0.000000e+00     10s
   29882    3.5009161e+01   0.000000e+00   0.000000e+00     10s

Root relaxation: objective 3.500916e+01, 29882 iterations, 9.96 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

    92    59 1414.00000   78  140 3899.40000 1391.60000  64.3%  5874  541s
    93    59 1414.12846   78  117 3899.40000 1391.60000  64.3%  6029  551s
    95    61 1414.00000   79  119 3899.40000 1391.60000  64.3%  5971  556s
    96    61 1414.59051   80  114 3899.40000 1391.60000  64.3%  6010  562s
    98    62 1414.95419   82  112 3899.40000 1391.60000  64.3%  6033  572s
    99    62 1415.28903   82  110 3899.40000 1391.60000  64.3%  6108  580s
   101    63 1415.61359   84  116 3899.40000 1391.60000  64.3%  6162  593s
   102    63 1415.79496   84  110 3899.40000 1391.60000  64.3%  6272  602s
   104    65 1416.10000   86  132 3899.40000 1391.60000  64.3%  6205  606s
   106    66 1416.16222   88  114 3899.40000 1391.60000  64.3%  6167  612s
   107    66 1416.59903   88  116 3899.40000 1391.60000  64.3%  6191  616s
   109    67 1416.81117   90  114 3899.40000 1391.60000  64.3%  6215  626s
   110    67 1417.63470   90  113 3899.40000 1391.60000  64.3%  6299  635s
   113    70 1417.50000   92  110 3899.40000 1391.60000  64.3%  6324  650s
   117    71 1418.36537   95  109 3899.40000 1391.60000  64.3%  6305  664s
   118    71 1419.59437   95  108 3899.40000 1391.60000  64.3%  6376  671s
   120    73 1418.90000   97  125 3899.40000 1391.60000  64.3%  6330  676s
   123    75 1418.98535  100  111 3899.40000 1391.60000  64.3%  6281  684s
   124    75 1419.23483  100  113 3899.40000 1391.60000  64.3%  6316  689s
   126    77 1419.60000  102  121 3899.40000 1391.60000  64.3%  6275  695s
   128    78 1419.69123  104  112 3899.40000 1391.60000  64.3%  6256  701s
   129    78 1420.04108  104  111 3899.40000 1391.60000  64.3%  6263  705s
   131    79 1420.51479  106  110 3899.40000 1391.60000  64.3%  6300  716s
   132    79 1434.15452  106  112 3899.40000 1391.60000  64.3%  6351  726s
   134    81 1421.00000  108  116 3899.40000 1391.60000  64.3%  6314  732s
   135    81 1421.50090  109  112 3899.40000 1391.60000  64.3%  6336  739s
   136    81 1421.68394  109  108 3899.40000 1391.60000  64.3%  6351  744s
   138    82 1422.08194  111  108 3899.40000 1391.60000  64.3%  6391  754s
   139    82 1422.19226  111  109 3899.40000 1391.60000  64.3%  6461  765s
   141    83 1423.36259  113  108 3899.40000 1391.60000  64.3%  6479  774s
   142    83 1423.10623  113  107 3899.40000 1391.60000  64.3%  6550  784s
   143    84 1423.80000  114  107 3899.40000 1391.60000  64.3%  6516  786s
   144    85 1423.80000  115  115 3899.40000 1391.60000  64.3%  6523  792s
   145    85 1424.73685  116  104 3899.40000 1391.60000  64.3%  6523  796s
   146    85 1424.06429  116  104 3899.40000 1391.60000  64.3%  6533  800s
   149    87 1424.58275  119  106 3899.40000 1391.60000  64.3%  6491  810s
   152    89 1425.20000  121  115 3899.40000 1391.60000  64.3%  6456  818s
   154    90 1427.80589  123  102 3899.40000 1391.60000  64.3%  6458  829s
   155    90 1438.03781  123  101 3899.40000 1391.60000  64.3%  6491  833s
   157    91 1428.44239  125  102 3899.40000 1391.60000  64.3%  6499  841s
   158    91 1428.76175  125  101 3899.40000 1391.60000  64.3%  6556  849s
   160    93 1428.70000  127  101 3899.40000 1391.60000  64.3%  6536  855s
   162    94 1432.76986  128   99 3899.40000 1391.60000  64.3%  6557  863s
   163    94 1429.23210  129   98 3899.40000 1391.60000  64.3%  6558  866s
   164    94 1429.34633  129   99 3899.40000 1391.60000  64.3%  6597  872s
   166    96 1429.40000  131   97 3899.40000 1391.60000  64.3%  6599  880s
   168    96 1430.53816  132   97 3899.40000 1391.60000  64.3%  6614  886s
   171    99 1430.80000  135  101 3899.40000 1391.60000  64.3%  6541  891s
   172    99 1431.08849  135   96 3899.40000 1391.60000  64.3%  6568  897s
   173    99 1430.94459  136   98 3899.40000 1391.60000  64.3%  6568  900s
   174    99 1432.45327  136   97 3899.40000 1391.60000  64.3%  6584  905s
   176   100 1432.98231  138   93 3899.40000 1391.60000  64.3%  6586  911s
   177   101 1431.50000  138  104 3899.40000 1391.60000  64.3%  6586  916s
   181   105 1431.50000  142  102 3899.40000 1391.60000  64.3%  6509  923s
   182   105 1431.72207  143  100 3899.40000 1391.60000  64.3%  6510  927s
   184   106 1432.25075  145  103 3899.40000 1391.60000  64.3%  6511  936s
   185   106 1432.29236  145   99 3899.40000 1391.60000  64.3%  6556  944s
   186   107 1432.90000  146  100 3899.40000 1391.60000  64.3%  6522  945s
   187   108 1432.90000  147   98 3899.40000 1391.60000  64.3%  6536  953s
   188   108 1432.92525  147  103 3899.40000 1391.60000  64.3%  6558  975s
   190   108 1434.79601  148   96 3899.40000 1391.60000  64.3%  6552  983s
   192   110 1433.60000  150  101 3899.40000 1391.60000  64.3%  6523  987s
   193   110 1433.72299  151  102 3899.40000 1391.60000  64.3%  6517  991s
   196   111 1434.36498  153   95 3899.40000 1391.60000  64.3%  6508 1000s
