Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,7.12,0.62,26.70,7.17,1.1770E+06,1.40,0.32,16.61,6.83,1.1770E+06
30.2,0.30,0.43,25.17,8.57,1.1771E+06,3.43,0.39,23.28,8.53,1.1771E+06
30.3,0.98,0.57,38.84,8.57,1.1771E+06,0.49,0.52,40.11,8.53,1.1771E+06
35.1,9.79,0.71,31.53,7.63,1.1770E+06,9.75,0.56,23.00,8.10,1.1771E+06
35.2,0.46,0.43,26.84,7.30,1.1770E+06,1.23,0.32,24.27,7.77,1.1770E+06
35.3,0.48,0.55,41.06,9.00,1.1772E+06,1.70,0.53,40.19,8.87,1.1771E+06
40.1,0.68,0.38,25.62,7.83,1.1771E+06,9.60,0.55,25.06,8.17,1.1771E+06
40.2,8.06,0.46,31.93,8.20,1.1771E+06,1.28,0.31,28.96,7.53,1.1770E+06
40.3,0.44,0.57,45.66,8.10,1.1771E+06,2.21,0.51,47.32,8.50,1.1771E+06
45.1,0.57,0.36,28.19,7.90,1.1771E+06,1.42,0.34,20.53,4.97,1.1768E+06
45.2,5.32,0.50,36.40,7.07,1.1770E+06,3.34,0.41,28.23,7.73,1.1770E+06
45.3,0.39,0.57,47.97,8.07,1.1771E+06,0.52,0.53,46.38,8.70,1.1771E+06
50.1,8.97,0.78,42.75,6.73,1.1770E+06,1.11,0.33,24.11,3.80,1.1767E+06
50.2,0.38,0.43,35.52,9.00,1.1772E+06,5.50,0.46,30.06,7.13,1.1770E+06
50.3,2.16,0.66,54.65,7.97,1.1771E+06,0.49,0.53,52.45,8.53,1.1771E+06
100.1,22.86,0.68,54.46,5.73,1.1769E+06,23.25,0.69,41.98,5.47,1.1769E+06
100.2,0.43,0.44,57.67,9.00,1.1772E+06,2.50,0.36,51.22,6.63,1.1770E+06
100.3,0.36,0.60,83.86,8.53,1.1771E+06,4.10,0.57,82.12,7.43,1.1770E+06
200.1,1.06,0.40,64.58,5.67,1.1769E+06,44.11,0.70,52.67,5.47,1.1769E+06
200.2,0.35,0.46,80.08,9.00,1.1772E+06,26.31,0.52,52.32,6.40,1.1769E+06
200.3,0.44,0.58,119.79,9.00,1.1772E+06,1.31,0.55,113.74,8.23,1.1771E+06
300.1,0.76,0.51,74.17,3.13,1.1767E+06,6.16,0.43,55.40,1.13,1.1765E+06
300.2,0.39,0.49,91.67,8.97,1.1772E+06,38.67,0.48,53.56,6.33,1.1769E+06
300.3,0.36,0.55,134.21,9.00,1.1772E+06,7.66,0.66,128.20,4.87,1.1768E+06
400.1,104.59,0.65,94.30,5.77,1.1769E+06,81.65,0.64,63.24,5.10,1.1768E+06
400.2,0.28,0.44,97.01,9.00,1.1772E+06,10.91,0.36,76.60,6.37,1.1769E+06
400.3,0.42,0.60,145.71,9.00,1.1772E+06,15.46,0.57,138.44,7.67,1.1770E+06
500.1,1.04,0.45,85.87,5.10,1.1768E+06,74.55,0.66,63.49,3.37,1.1767E+06
500.2,93.30,0.53,104.48,7.20,1.1770E+06,91.89,0.51,59.95,7.43,1.1770E+06
500.3,24.84,0.59,150.49,8.97,1.1772E+06,4.67,0.55,152.44,8.80,1.1771E+06
600.1,1.89,0.43,89.19,6.07,1.1769E+06,184.77,0.71,71.93,7.17,1.1770E+06
600.2,109.65,0.53,106.04,7.17,1.1770E+06,13.58,0.38,82.19,5.00,1.1768E+06
600.3,29.85,0.58,159.26,8.60,1.1771E+06,3.96,0.60,156.81,8.00,1.1771E+06
700.1,276.88,0.71,111.36,8.23,1.1771E+06,222.86,0.70,74.81,7.13,1.1770E+06
700.2,0.30,0.45,111.94,9.00,1.1772E+06,22.27,0.38,82.74,6.00,1.1769E+06
700.3,20.10,0.69,163.06,4.57,1.1768E+06,31.74,0.64,149.27,8.50,1.1771E+06
800.1,298.71,0.68,113.95,7.87,1.1771E+06,135.35,0.68,72.35,3.73,1.1767E+06
800.2,144.78,0.58,112.51,6.43,1.1769E+06,119.97,0.52,68.40,6.13,1.1769E+06
800.3,0.35,0.58,165.22,9.00,1.1772E+06,6.83,0.60,164.18,7.00,1.1770E+06
900.1,249.06,0.67,107.80,5.37,1.1769E+06,30.99,0.41,67.98,1.37,1.1765E+06
900.2,218.50,0.51,113.83,8.80,1.1771E+06,36.24,0.34,82.43,8.47,1.1771E+06
900.3,0.33,0.64,168.37,9.00,1.1772E+06,33.33,0.63,148.09,6.07,1.1769E+06
1000.1,3.49,0.39,94.92,6.73,1.1770E+06,323.07,0.69,79.03,7.00,1.1770E+06
1000.2,0.28,0.46,120.60,9.00,1.1772E+06,36.08,0.35,82.97,6.07,1.1769E+06
1000.3,0.27,0.65,172.10,9.00,1.1772E+06,37.66,0.61,152.23,6.13,1.1769E+06
,,,,,,,,,,
