Instância,K-trimmed,,K-centrum,,Hurwicz,
,correlated,anticorrelated,correlated,anticorrelated,correlated,anticorrelated
30.1,0.0090,0.0000,0.0003,0.0047,0.0000,0.0000
30.2,0.0000,0.0019,0.0000,0.0093,0.0000,0.0002
30.3,0.0001,0.0000,0.5000,0.0001,0.0001,0.0000
35.1,0.0000,0.0729,0.0000,0.0012,0.0000,0.0145
35.2,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000
35.3,0.5000,0.5000,0.0000,0.5000,0.0000,0.0000
40.1,0.0000,0.0000,0.0000,0.0017,0.0000,0.0268
40.2,0.0152,0.0000,0.0000,0.0000,0.0000,0.0005
40.3,0.0001,0.0000,0.0000,1.0000,0.0390,1.0000
45.1,0.0000,0.0045,0.0000,0.0065,0.0000,0.0121
45.2,0.0000,0.0003,0.0000,0.0000,0.0077,0.0695
45.3,0.0000,0.0000,0.0022,1.0000,0.0001,1.0000
50.1,0.0046,0.1141,0.0000,0.0000,0.0000,0.0048
50.2,0.5000,0.0231,0.0000,0.0000,0.0000,0.0001
50.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9831
100.1,0.0002,0.0000,0.0000,0.0000,0.0000,0.0185
100.2,0.5000,0.0000,0.0000,0.0001,0.0000,0.2722
100.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0368
200.1,0.0000,0.0000,0.0069,0.0000,0.0000,0.0000
200.2,0.5000,0.0000,0.0000,0.0000,0.0002,0.0000
200.3,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
300.1,0.0000,0.0002,0.0001,0.0000,0.0012,0.0380
300.2,0.5000,0.0000,0.0000,0.0210,0.0000,0.0000
300.3,0.5000,0.0000,0.0000,0.1997,0.0000,0.0000
400.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008
400.2,0.5000,0.0000,0.0015,0.0036,0.0000,0.0001
400.3,0.5000,0.0000,0.0000,0.0000,0.0000,0.7587
500.1,0.0000,0.9798,0.0000,0.0000,0.0000,0.0004
500.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
500.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0768
600.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
700.1,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000
700.2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027
800.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021
800.2,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
800.3,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.1915
900.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.3,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
1000.1,0.0000,0.0000,0.0000,0.0000,0.0543,0.0050
1000.2,0.5000,0.0000,0.0000,0.0000,0.0001,0.1538
1000.3,0.5000,0.0000,0.0000,0.0000,0.0000,0.0001
