Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,5.08,0.43,21.75,7.77,1.1770E+06,1.88,0.46,29.41,7.63,1.1770E+06
30.2,3.27,0.41,28.41,7.90,1.1771E+06,1.15,0.43,21.22,7.53,1.1770E+06
30.3,0.59,0.58,39.11,9.00,1.1772E+06,0.60,0.26,11.17,7.17,1.1770E+06
35.1,6.24,0.40,25.03,7.87,1.1771E+06,1.59,0.59,34.63,6.53,1.1769E+06
35.2,2.44,0.44,29.49,7.30,1.1770E+06,1.51,0.45,27.23,8.23,1.1771E+06
35.3,0.87,0.55,41.44,8.70,1.1771E+06,0.62,0.25,9.90,7.63,1.1770E+06
40.1,4.59,0.49,26.29,7.37,1.1770E+06,6.62,0.39,29.09,6.90,1.1770E+06
40.2,4.14,0.41,32.93,7.67,1.1770E+06,3.70,0.29,14.93,6.60,1.1770E+06
40.3,0.65,0.54,50.49,8.93,1.1771E+06,2.81,1.86,17.43,3.53,1.1767E+06
45.1,6.30,0.48,29.74,7.33,1.1770E+06,6.07,0.41,31.48,5.93,1.1769E+06
45.2,3.46,0.46,35.81,8.17,1.1771E+06,4.48,0.30,16.79,5.97,1.1769E+06
45.3,0.67,0.58,53.97,8.83,1.1771E+06,3.14,2.22,18.73,3.40,1.1767E+06
50.1,9.11,0.51,29.22,7.57,1.1770E+06,6.66,0.39,27.98,6.93,1.1770E+06
50.2,4.03,0.46,52.86,8.43,1.1771E+06,2.95,0.61,13.44,5.30,1.1768E+06
50.3,1.19,0.59,58.88,7.90,1.1771E+06,6.90,3.08,33.06,3.23,1.1767E+06
100.1,18.32,0.51,43.86,6.70,1.1770E+06,17.20,0.51,31.87,6.60,1.1770E+06
100.2,6.20,0.49,80.38,7.80,1.1771E+06,14.97,1.24,29.19,4.90,1.1768E+06
100.3,2.31,0.60,92.19,7.67,1.1770E+06,19.22,5.63,84.89,2.67,1.1766E+06
200.1,7.16,0.50,92.11,7.07,1.1770E+06,63.04,0.82,45.48,5.80,1.1769E+06
200.2,10.09,0.50,107.43,6.30,1.1769E+06,4.43,0.54,76.56,5.63,1.1769E+06
200.3,3.13,0.61,123.60,6.17,1.1769E+06,1.69,0.32,30.17,4.27,1.1768E+06
300.1,37.48,0.52,73.62,5.50,1.1769E+06,53.32,0.63,46.94,3.47,1.1767E+06
300.2,30.12,0.50,96.09,5.27,1.1768E+06,5.86,0.51,89.22,4.37,1.1768E+06
300.3,4.46,0.67,149.63,6.73,1.1770E+06,2.39,0.34,36.96,5.53,1.1769E+06
400.1,65.91,0.53,74.60,6.27,1.1769E+06,46.46,0.43,75.44,5.00,1.1768E+06
400.2,19.09,0.56,124.14,4.93,1.1768E+06,7.62,0.49,96.38,5.37,1.1769E+06
400.3,10.08,0.68,158.15,6.60,1.1770E+06,33.06,3.71,89.18,3.43,1.1767E+06
500.1,23.20,0.58,120.80,4.83,1.1768E+06,52.03,0.46,81.85,3.70,1.1767E+06
500.2,48.83,0.57,107.89,5.00,1.1768E+06,13.12,0.49,76.54,4.43,1.1768E+06
500.3,10.42,0.72,158.49,6.30,1.1769E+06,3.58,0.76,148.49,6.13,1.1769E+06
600.1,106.99,0.53,80.65,6.27,1.1769E+06,50.94,0.54,102.33,3.50,1.1767E+06
600.2,75.96,0.53,109.53,6.33,1.1769E+06,11.91,0.50,106.05,5.97,1.1769E+06
600.3,17.40,0.61,164.07,6.50,1.1769E+06,4.26,0.67,141.97,4.30,1.1768E+06
700.1,31.94,0.61,132.92,4.93,1.1768E+06,208.49,0.83,65.92,4.73,1.1768E+06
700.2,25.25,0.54,139.11,4.27,1.1768E+06,21.07,0.46,79.72,3.07,1.1767E+06
700.3,16.55,0.62,171.47,6.77,1.1770E+06,7.05,0.34,40.01,4.53,1.1768E+06
800.1,49.64,0.51,89.08,1.90,1.1766E+06,89.40,0.46,105.75,5.33,1.1768E+06
800.2,28.65,0.59,143.42,3.47,1.1767E+06,115.18,2.69,130.22,1.03,1.1765E+06
800.3,15.20,0.76,176.79,4.13,1.1767E+06,8.05,0.36,44.39,5.17,1.1768E+06
900.1,176.24,0.61,83.33,5.23,1.1768E+06,80.24,0.49,91.45,2.43,1.1766E+06
900.2,70.93,0.60,125.48,3.87,1.1767E+06,66.56,0.39,61.75,3.37,1.1767E+06
900.3,19.44,0.71,177.90,5.83,1.1769E+06,8.78,0.37,47.08,6.30,1.1769E+06
1000.1,49.72,0.58,122.62,3.13,1.1767E+06,81.65,0.54,109.19,2.70,1.1766E+06
1000.2,30.98,0.58,139.61,2.40,1.1766E+06,101.50,0.49,44.30,3.60,1.1767E+06
1000.3,31.75,0.63,175.69,6.70,1.1770E+06,319.28,7.02,419.21,3.23,1.1767E+06
,,,,,,,,,,
