Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
600.2,31805.00,—,13.07,19.52,6753.25,-78.77,16.77,18.51,6733.25,-78.83,30175.00,—,18.40,18.91,23688.00,-21.50,19.03,19.79,23021.50,-23.71
600.3,30253.00,—,10.53,19.92,2652.50,-91.23,15.56,18.32,2642.25,-91.27,29997.00,—,18.74,19.12,29144.80,-2.84,17.41,19.70,29009.20,-3.29
700.1,35860.00,—,21.12,22.21,9867.75,-72.48,23.64,24.33,9859.25,-72.51,36172.00,—,20.02,22.85,17540.80,-51.51,23.69,25.18,17382.00,-51.95
700.2,35139.00,—,2.05,24.27,7603.62,-78.36,22.21,23.84,7597.00,-78.38,35499.00,—,12.87,24.00,22031.90,-37.94,23.25,24.24,22008.10,-38.00
700.3,34544.00,—,2.92,24.17,3055.66,-91.15,21.51,23.86,3036.99,-91.21,35372.00,—,22.24,22.66,34013.00,-3.84,23.03,25.54,33825.50,-4.37
800.1,—,—,2.64,29.29,10545.90,—,28.97,30.49,10533.10,—,—,—,24.12,27.32,19762.80,—,29.56,31.71,19545.80,—
800.2,—,—,19.24,28.23,8632.00,—,28.53,30.72,8607.75,—,—,—,6.30,29.16,24969.00,—,28.58,30.86,24954.50,—
800.3,—,—,2.66,29.38,3372.00,—,23.26,30.41,3369.75,—,—,—,2.67,29.27,22133.90,—,27.52,30.68,22118.00,—
900.1,—,—,23.89,31.86,11792.50,—,32.31,37.91,11765.50,—,—,—,27.76,31.54,21767.10,—,37.13,38.06,21702.40,—
900.2,—,—,17.21,33.41,9501.66,—,35.22,37.90,9478.32,—,—,—,3.38,34.12,27990.90,—,28.29,37.81,27986.80,—
900.3,—,—,3.40,34.12,3765.50,—,32.00,37.13,3762.25,—,—,—,3.41,34.08,24845.10,—,33.79,37.73,24830.40,—
1000.1,—,—,33.57,36.34,12990.80,—,42.03,45.86,12966.50,—,—,—,32.87,36.29,24501.00,—,41.63,47.11,24240.00,—
1000.2,—,—,22.59,38.43,10187.50,—,39.51,45.77,10168.80,—,—,—,34.73,35.37,38879.50,—,46.34,47.98,38035.20,—
1000.3,—,—,27.52,38.47,4063.75,—,40.02,45.59,4045.00,—,—,—,25.60,38.77,35385.80,—,41.47,45.84,35326.00,—
