Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,6.44,0.49,23.29,6.90,1.1770E+06,9.46,0.67,20.28,6.50,1.1769E+06
30.2,1.71,0.42,23.85,8.10,1.1771E+06,2.74,0.29,8.03,6.93,1.1770E+06
30.3,0.52,0.56,37.57,9.00,1.1772E+06,0.23,0.47,18.11,8.30,1.1771E+06
35.1,8.27,0.44,24.18,7.90,1.1771E+06,13.94,0.68,22.64,7.10,1.1770E+06
35.2,1.78,0.43,25.55,7.57,1.1770E+06,3.84,0.38,9.91,6.10,1.1769E+06
35.3,0.48,0.54,40.33,8.97,1.1772E+06,0.32,0.36,17.30,9.00,1.1772E+06
40.1,3.32,0.39,24.56,6.57,1.1770E+06,8.54,0.36,17.55,6.73,1.1770E+06
40.2,0.45,0.43,28.75,8.90,1.1771E+06,1.01,0.28,11.40,7.33,1.1770E+06
40.3,1.33,0.57,45.10,8.03,1.1771E+06,8.77,2.64,27.32,3.73,1.1767E+06
45.1,5.42,0.34,26.88,8.83,1.1771E+06,9.92,0.41,20.25,6.40,1.1769E+06
45.2,0.41,0.42,32.31,8.37,1.1771E+06,0.83,0.23,13.21,8.37,1.1771E+06
45.3,0.57,0.51,47.43,8.87,1.1771E+06,7.81,2.64,23.36,3.20,1.1767E+06
50.1,1.61,0.34,27.27,7.40,1.1770E+06,3.05,0.26,19.40,7.13,1.1770E+06
50.2,5.59,0.46,36.42,8.30,1.1771E+06,11.79,1.32,25.84,3.83,1.1767E+06
50.3,0.66,0.56,54.93,8.27,1.1771E+06,0.96,0.43,16.37,7.80,1.1770E+06
100.1,3.52,0.39,44.10,7.57,1.1770E+06,6.96,0.29,29.42,6.13,1.1769E+06
100.2,12.17,0.51,55.52,6.50,1.1769E+06,12.95,0.35,19.17,5.20,1.1768E+06
100.3,1.53,0.60,84.30,7.47,1.1770E+06,0.92,0.44,38.68,7.87,1.1771E+06
200.1,53.55,0.54,62.49,6.30,1.1769E+06,14.63,0.29,40.94,5.47,1.1769E+06
200.2,1.74,0.43,76.05,8.67,1.1771E+06,28.65,1.68,56.28,1.37,1.1765E+06
200.3,4.64,0.70,117.50,5.43,1.1769E+06,1.21,0.41,54.52,8.10,1.1771E+06
300.1,74.21,0.49,70.00,5.30,1.1768E+06,50.46,0.37,50.03,3.03,1.1767E+06
300.2,32.24,0.52,87.09,4.47,1.1768E+06,32.47,0.37,30.81,4.63,1.1768E+06
300.3,1.20,0.68,136.74,8.77,1.1771E+06,2.76,5.63,71.25,0.03,1.1764E+06
400.1,13.82,0.33,75.25,8.00,1.1771E+06,97.79,0.70,65.78,2.23,1.1766E+06
400.2,77.56,0.49,94.77,8.33,1.1771E+06,48.36,0.33,34.11,5.00,1.1768E+06
400.3,14.36,0.64,143.77,6.90,1.1770E+06,12.87,0.42,45.18,6.63,1.1770E+06
500.1,17.27,0.34,79.74,8.00,1.1771E+06,91.44,0.43,58.64,3.00,1.1767E+06
500.2,40.12,0.52,101.89,5.93,1.1769E+06,75.14,1.61,86.86,0.77,1.1765E+06
500.3,1.30,0.61,153.34,9.00,1.1772E+06,15.79,0.43,46.20,6.57,1.1769E+06
600.1,25.34,0.31,84.34,8.97,1.1772E+06,168.17,0.71,75.91,2.80,1.1766E+06
600.2,84.81,0.55,104.92,5.03,1.1768E+06,87.27,1.75,93.98,0.73,1.1765E+06
600.3,23.66,0.69,161.73,7.03,1.1770E+06,5.94,6.38,110.51,0.00,1.1764E+06
700.1,60.19,0.65,84.32,1.00,1.1765E+06,206.78,0.73,80.58,2.83,1.1766E+06
700.2,11.77,0.45,109.18,9.00,1.1772E+06,29.52,0.29,42.93,7.67,1.1770E+06
700.3,14.35,0.60,161.84,8.33,1.1771E+06,7.26,6.34,115.79,0.00,1.1764E+06
800.1,33.95,0.35,87.69,8.90,1.1771E+06,208.93,0.64,78.36,2.50,1.1766E+06
800.2,120.95,0.55,111.15,5.33,1.1768E+06,35.98,0.23,43.27,8.50,1.1771E+06
800.3,2.61,0.65,169.24,9.00,1.1772E+06,7.38,0.36,79.03,8.67,1.1771E+06
900.1,178.85,0.54,90.07,3.63,1.1767E+06,76.06,0.33,59.88,2.83,1.1766E+06
900.2,87.09,0.50,113.44,7.30,1.1770E+06,42.38,0.23,44.90,8.93,1.1771E+06
900.3,1.99,0.65,172.81,9.00,1.1772E+06,7.55,0.39,82.40,8.80,1.1771E+06
1000.1,177.19,0.53,91.68,3.03,1.1767E+06,290.49,0.69,85.84,2.67,1.1766E+06
1000.2,177.40,0.53,114.12,6.90,1.1770E+06,159.18,1.58,106.97,0.60,1.1765E+06
1000.3,41.19,0.63,169.38,6.73,1.1770E+06,37.32,0.38,53.89,7.33,1.1770E+06
,,,,,,,,,,
