Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,637.60,33.28 %,0.14,0.73,648.20,1.66,0.19,0.30,640.20,0.41,438.80,30.17 %,0.11,0.75,438.80,0.00,0.20,0.31,438.30,-0.11
30.2,518.40,26.70 %,0.11,0.74,517.90,-0.10,0.23,0.31,515.20,-0.62,723.90,63.39 %,0.26,0.74,718.50,-0.75,0.23,0.31,716.70,-0.99
30.3,255.60,17.37 %,0.10,0.74,256.20,0.23,0.02,0.30,256.20,0.23,1094.40,68.62 %,0.33,0.77,1079.40,-1.37,0.25,0.32,1076.20,-1.66
35.1,708.00,30.45 %,0.14,0.84,715.80,1.10,0.25,0.36,712.00,0.56,485.20,70.16 %,0.25,0.83,485.10,-0.02,0.32,0.36,482.80,-0.49
35.2,613.20,34.25 %,0.16,0.83,611.40,-0.29,0.28,0.36,610.10,-0.51,771.60,41.54 %,0.14,0.83,771.30,-0.04,0.26,0.36,764.80,-0.88
35.3,289.20,22.96 %,0.04,0.83,289.40,0.07,0.11,0.36,289.30,0.03,1306.60,61.46 %,0.17,0.86,1270.40,-2.77,0.28,0.37,1268.40,-2.92
40.1,839.40,30.34 %,0.16,0.90,849.95,1.26,0.34,0.41,838.40,-0.12,761.30,60.63 %,0.25,0.90,752.85,-1.11,0.34,0.41,751.25,-1.32
40.2,721.20,28.31 %,0.12,0.90,719.00,-0.31,0.19,0.40,717.20,-0.55,1169.80,63.31 %,0.42,0.91,1156.00,-1.18,0.34,0.42,1149.60,-1.73
40.3,161.40,10.04 %,0.01,0.90,161.40,0.00,0.01,0.40,161.40,0.00,1836.60,62.67 %,0.77,0.93,1839.80,0.17,0.33,0.43,1846.70,0.55
45.1,881.60,41.86 %,0.22,1.03,880.45,-0.13,0.36,0.48,868.50,-1.49,802.00,59.93 %,0.41,1.04,810.20,1.02,0.40,0.49,805.75,0.47
45.2,743.00,33.51 %,0.10,1.05,740.90,-0.28,0.26,0.48,739.80,-0.43,1345.60,66.97 %,0.34,1.04,1324.10,-1.60,0.45,0.50,1323.00,-1.68
45.3,178.40,13.34 %,0.01,1.04,178.60,0.11,0.05,0.48,178.60,0.11,2073.80,63.30 %,0.84,1.07,2076.30,0.12,0.43,0.51,2089.10,0.74
50.1,1133.00,39.45 %,0.20,1.13,1121.10,-1.05,0.42,0.55,1113.90,-1.69,1101.40,58.47 %,0.32,1.13,1095.20,-0.56,0.44,0.55,1090.60,-0.98
50.2,299.40,50.63 %,0.13,1.12,296.30,-1.04,0.45,0.53,293.60,-1.94,1952.00,59.68 %,0.55,1.13,1916.20,-1.83,0.45,0.56,1902.20,-2.55
50.3,203.70,45.46 %,0.13,1.13,206.80,1.52,0.40,0.53,204.00,0.15,2329.40,58.14 %,1.04,1.15,2341.00,0.50,0.39,0.57,2344.45,0.65
100.1,2112.20,53.91 %,0.76,2.36,1950.60,-7.65,0.91,1.28,1922.50,-8.98,2927.60,60.93 %,0.76,2.35,2643.90,-9.69,1.06,1.30,2637.00,-9.93
100.2,624.20,68.60 %,0.73,2.32,521.30,-16.49,1.07,1.26,512.60,-17.88,3899.40,64.29 %,1.34,2.31,3817.70,-2.10,1.13,1.33,3813.55,-2.20
100.3,308.90,47.14 %,0.42,2.31,300.90,-2.59,1.01,1.20,297.80,-3.59,4686.20,59.83 %,2.20,2.33,4758.50,1.54,0.89,1.35,4738.20,1.11
200.1,3040.40,87.96 %,1.61,5.35,1299.10,-57.27,2.66,3.24,1292.60,-57.49,5626.40,60.83 %,2.21,5.34,5558.10,-1.21,2.73,3.32,5480.00,-2.60
200.2,1607.10,72.94 %,2.20,5.33,1171.25,-27.12,2.88,3.21,1163.90,-27.58,5704.20,86.71 %,2.78,5.33,2799.90,-50.92,2.97,3.23,2784.40,-51.19
200.3,10188.00,96.25 %,1.81,5.34,806.40,-92.08,2.67,3.20,796.50,-92.18,8905.40,79.07 %,4.52,5.33,7185.30,-19.32,3.15,3.34,7166.50,-19.53
300.1,17907.00,99.86 %,4.83,9.04,3795.90,-78.80,4.90,5.74,3787.80,-78.85,17200.00,91.85 %,6.74,9.04,7627.30,-55.66,5.49,5.95,7599.15,-55.82
300.2,16622.00,99.83 %,4.46,9.08,3447.00,-79.26,5.22,5.81,3423.90,-79.40,14355.80,99.93 %,6.30,9.12,4071.70,-71.64,5.51,5.94,4058.50,-71.73
