Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
600.1,23266.00,100.00 %,13.51,19.76,6426.66,-72.38,17.03,18.88,6186.49,-73.41,24969.00,100.00 %,5.66,19.89,6249.00,-74.97,13.28,18.40,6232.00,-75.04
600.2,23312.00,100.00 %,5.08,19.97,3879.50,-83.36,14.18,18.08,3862.00,-83.43,23 370.60,100.00 %,15.35,19.54,7029.82,-69.92,17.65,18.50,6981.33,-70.13
600.3,11729.00,100.00 %,1.51,20.34,1780.50,-84.82,12.57,18.31,1777.00,-84.85,13958.00,100.00 %,4.94,20.16,2739.83,-80.37,16.44,18.09,2731.33,-80.43
700.1,29843.00,100.00 %,2.05,24.24,4836.50,-83.79,21.20,24.10,4813.00,-83.87,29539.00,100.00 %,6.21,23.86,6993.50,-76.32,17.70,24.44,6979.00,-76.37
700.2,25188.00,100.00 %,2.05,24.29,5940.66,-76.41,1.99,23.40,5940.66,-76.41,25055.00,100.00 %,15.53,23.54,8104.82,-67.65,22.94,24.14,8035.49,-67.93
700.3,21484.00,100.00 %,15.42,23.22,2087.00,-90.29,20.96,23.79,2076.00,-90.34,27819.00,100.00 %,2.09,24.22,2619.00,-90.59,11.25,23.97,2615.00,-90.60
800.1,—,—,7.04,29.08,5256.50,—,27.32,30.76,5242.00,—,—,—,22.48,27.66,7838.00,—,28.00,31.21,7776.50,—
800.2,—,—,11.46,28.60,4680.00,—,27.78,30.83,4657.50,—,—,—,13.35,28.40,6849.00,—,26.76,30.87,6831.50,—
800.3,—,—,2.66,29.37,2942.66,—,2.59,29.82,2942.66,—,—,—,19.91,28.73,3407.49,—,28.15,30.49,3390.66,—
900.1,—,—,22.59,32.72,5807.00,—,33.90,37.36,5761.00,—,—,—,29.81,31.09,13728.70,—,38.22,38.80,13383.00,—
900.2,—,—,3.37,34.19,4996.00,—,30.24,37.84,4986.00,—,—,—,6.99,33.88,9835.65,—,35.45,37.56,9812.83,—
900.3,—,—,3.40,34.03,3252.33,—,3.32,36.63,3252.33,—,—,—,13.57,33.05,3206.50,—,27.96,37.65,3188.00,—
1000.1,—,—,30.56,38.28,9865.65,—,44.69,46.40,9431.65,—,—,—,14.26,38.49,9096.50,—,37.62,45.87,9071.00,—
1000.2,—,—,4.15,39.30,7939.66,—,4.03,44.28,7939.66,—,—,—,29.84,37.84,10625.80,—,44.09,45.97,10584.50,—
1000.3,—,—,4.20,39.47,3428.66,—,4.09,44.44,3428.66,—,—,—,24.38,37.98,3464.50,—,38.47,46.23,3441.00,—
